id_lex	type	trans	ortho	\ph	\src
2259	\al	, tɤ̏ŋgɤ̏	, -tönggö		LJ
2260	\al	, tɤ̀ɤ̄	, =töö'		
2261	\al	, tɤ́ɤ̂	, 'töö-		
2269	\al	, trɛ̀ɛn	, =trɛɛn'-		
2278	\ald	, tɔ̄ɔdhɤn	, tɔɔndhö (dh)		
2286	\al	, trʌ́ŋ	, 'trëng		LJ
2286	\al	, trɯ́ɯn	, 'trüün		
2294	\al	, túŋbhɛ̏	, 'tunngmɛ		LJ
2296	\al	, tùun	, =tuun		
2296	\al	, tùŋ̄	, =tung'		
2298	\ald	, tɔ́ɔn	, 'tɔɔn (wo, dh)LJ		
2317	\al	, vɒ́ɒ	, 'vaɔ		LJ
2321	\al	, vàazʌ̏	, =vaazë		KD
2325	\al	, vɒ̄ɒŋvɒ̄ɒŋdhɤ	, vaɔngvaɔngdhö		LJ
2330	\al	, víavȉa	, 'viavia		
2334	\al	, vɛ̄idhɛ̏	, vɛidhɛ		GA, MA; LJ
2336	\al	, vɛ̄idhɤ	, vɛidhö		
2340	\al	, vȉanvȉadhɤ̄n	, -vianviandhö		
2340	\al	, víanvíadhɤ̄n	, 'vianviandhö		LJ
2346	\al	, vȉin	, -viin		
2348	\al	, zlūa	, zlua		
2360	\al	, vlɤ̀dhɤ̄	, =vlödhö		LJ
2361	\al	, zlùazʌ̏			
2365	\al	, vlɯ́ɯvlɯ́ɯdhɤ̄	, 'vlüüvlüüdhö		
2388	\al	, wɒ̀ɒ	, =waɔ		
2390	\al	, wȍká	, -woka		
2391	\al	, wāâ	, waa-		
2402	\al	, wàādhūn	, =waannu		OD, LJ
2402	\ald	, wàadhūn	, =waannu		
2402	\al	, wāadhūn	, waan nu		LJ
2403	\al	, wȁa	, -waa		
2406	\al	, wáâ	, 'waa-		
2428	\al	, wèe yí	, =wee 'yi		
2430	\al	, wēe	, wee		
2432	\al	, wēen	, ween		MG, DJ, BE, LJ
2434	\al	, wɛ̏i	, -wɛi		
2455	\al	, wlʌ̀ʌ	, =wlëë		
2463	\al	, wò	, =wo		
2472	\al	, wȍ	, -wo		
2496	\al	, wɔ̄ɔ	, wɔɔ-		
2504	\al	, wɤ̄ɯdhɛ̏	, wöüdhɛ		
2511	\al	, wúndɔ̏adhē	, 'wundɔadhe		LJ
2511	\al	, wúndȕadhē	, 'wunduadhe		LJ, LP
2528	\al	, wɯ̀ɯ̄	, =wüü'		
2532	\al	, yāa	, yaa		
2537	\al	, yɤ̏ká	, -yöka		
2543	\al	, yàādhūn	, =yaannu		MG, LJ, OD
2547	\al	, yȁa	, -yaa		
2552	\al	, yáâ	, 'yaa-		
2562	\al	, yȁan	, -yaan		LJ
2581	\al	, yɒ̏ɒbāa	, -yaɔbaa		LJ
2582	\al	, yɒ̀ɒ̄n	, =yaɔn'		
2587	\al	, yʌ́ŋ	, 'yënng		
2588	\al	, yʌ́ŋlɯ̏	, 'yëng -lü		
2602	\al	, yēe	, yee-		
2608	\al	, yée	, 'yee		BE, LJ, DJ
2617	\ald	, yɛ́ɛn	, 'yɛɛn		GJ (wa)LJ
2637	\al	, yīká	, yika		
2638	\al	, yīʌ	, yië		
2645	\al	, yíʌ̏	, 'yië-		
2647	\al	, yípíɤbhȁn	, 'yipiöma		LJ
2659	\al	, yɛ̄an	, yɛan		
2659	\al	, yɛ̄ɛn	, yɛɛn		
2664	\al	, yígɔ́bhɔ̄dhɛ̏	, 'yigɔbhɔdhɛ		LJ
2682	\al	, yípóʌ	, 'yipoë		
2685	\al	, yítȁgɔ̏	, 'yitagɔ		DJ, GJ, LJ
2706	\al	, yɔ̀ɔ̄	, =yɔɔ'		
2717	\al	, yɤ̀	, =yö		
2717	\al	, ɤ̏	, -ö		
2718	\al	, ɤ̏	, -ö		
2724	\al	, ɤ́	, 'ö		
2724	\al	, ɤ̏	, -ö		
2724	\al	, yɤ̏	, -yö		
2726	\al	, ɤ̂	, 'ö-		
2729	\ald	, yȅ kóʌ dhɛ̏	-ye 'koë -dhɛ		
2730	\al	, yɤ̏sōŋbhɛ̏	, -yösongmɛ		
2738	\al	, yúʌn yūʌn	, 'yuën yuën		
2739	\al	, yūun	, yuun		
2740	\al	, yūun	, yuun		
2743	\al	, yúŋ̂	, 'yunng-		
2743	\al	, yúûn	, 'yuun-		
2743	\al	, yúû	, 'yuu-		
2747	\al	, yúɤ	, 'yuö		
2760	\al	, zȁangɔ̄n	, -zaan gɔn		
2795	\al	, zɛ́lɯ̏	, 'zɛlü		
2800	\al	, zīnpʌ̄	, zinpë		
2808	\al	, zīangblȍ	, ziangblo		
2815	\al	, zȕugā	, -zuuga		
2825	\al	, zȉo	, zio		
2842	\al	, Zlān	, Zlan		
2845	\al	, zlɔ̀a	, =zlɔa		
2845	\al	, zlùa	, =zlua		
2845	\ald	, zlɒ̀ɒ	, =zlaɔ (wo)LJ		
2846	\al	, zlȍogā	, -zlooga		LJ
2852	\al	, zlɔ̏ɔgā	, -zlɔɔga		LJ
2857	\ald	zlù	=zlu		KB
2858	\ald	, vlú	, 'vlu (dh, wo)LJ		
2863	\ald	, vlúsɔ̄	, 'vlusɔ		
2880	\ald	, váanvádhɤ̄n	, 'vaan 'van dhö (wo) LJ		
2889	\al	, zɔ̏ɔn	, -zɔɔn		
2891	\al	, zɔ̀ɔngā	, =zɔɔnga		LJ, KB
2909	\al	, zȕɤɤ	, -zuöö		LJ
2910	\al	zòʌ̄	=zoë'		
