lex	Str	vowels
kɛ́ɛ	CVV	ɛɛ
kɛ́ɛ	CVV	ɛɛ
kɛ́ɛ bhɔ̏a	CVV CVV	ɛɛ ɔa
kɛ̏i	CVV	ɛi
kɛ̏i sȍo	CVV CVV	ɛi oo
kɛ̏i zlɤ̀ɤ	CVV CCV̈V̈	ɛi öö
kɛ̏idhɛ	CVVCV	ɛiɛ
kɛ̀n	CVC	ɛ
kɛ̀ngā	CVCCV	ɛa
kɛ̈npʌ̄	CVCCV̈	ɛë
kìā	CVV	ia
kíakȉa	CVVCVV	iaia
kìān	CVVC	ia
kìān	CVVC	ia
kían	CVVC	ia
kíin	CVVC	ii
kínzūu	CVCCVV	iuu
kìoŋgbɔ̄	CVVCCCCV	ioɔ
klȁa	CCVV	aa
klȁa kpūdhe	CCVV CCVCV	aa ue
klȁagā	CCVVCV	aaa
klāan	CCVVC	aa
klàŋ̄	CCVCC	a
kláŋ	CCVCC	a
klàŋ̄ dhʌ́n	CCVCC CV̈	a ë
klàŋ̄ kɔ́	CCVCC CV	a ɔ
klàŋ̄gɔ̏bhɛ̏n	CCVCCCVCV	aɔɛ
klàŋ̄gɔ̏dhe	CCVCCCVCV	aɔe
klɒ̄ɒ	CCVV	aɔ
klɒ́ŋ̈	CCVVCC	aɔ
klʌ̏ʌ	CCV̈V̈	ëë
klʌ́ʌklʌ̏	CCV̈V̈CCV̈	ëëë
klʌ́ʌklʌ̏dhɛ	CCV̈V̈CCV̈CV	ëëëɛ
klʌ̀ʌn	CCV̈V̈C	ëë
klʌ̀ʌn	CCV̈V̈C	ëë
klʌ́n	CCV̈C	ë
klʌ̄ŋ	CCV̈CC	ë
klɛ̄yɔ̈n	CCVCVC	ɛɔ
kló	CCV	o
klòâ	CCVV	oa
klóbhɔ̄dhe	CCVCVCV	oɔe
klòȍ	CCVV	oo
klòô	CCVV	oo
klɔ́	CCV	ɔ
klɔ̀ȁ	CCVV	ɔa
klɔ́a	CCVV	ɔa
klɔ̏ŋ	CCVCC	ɔ
klɔ́ɔklɔ̏	CCVVCCV	ɔɔɔ
klɔ̀ɔ̏n	CCVVC	ɔɔ
klɤ̏	CCV̈	ö
klɤ́ŋgbɤ̄	CCV̈CCCCV̈	öö
klɤ̏ɤ	CCV̈V̈	öö
klɤ̀ɤ	CCV̈V̈	öö
klɤ̀ɤ̄	CCV̈V̈	öö
klɤ̀ɤ̄	CCV̈V̈	öö
klɤ̀ɤ̄dhɤ	CCV̈V̈CV̈	ööö
klɤ̀ɤ̄klɤ̀ɤ̄	CCV̈V̈ CCV̈V̈	öö öö
klɤ̀ɤ̄klɤ̀ɤ̄	CCV̈V̈ CCV̈V̈	öö öö
klɤ̀ɤklɤ̀ɤ{-dhȕ}n	CCV̈V̈ CCV̈V̈ {CV}	öö öö {u}
klɤ̀ɤ̄zʌ̏	CCV̈V̈CV̈	ööë
klȕ	CCV	u
klú	CCV	u
klú	CCV	u
klȕ kɤ́dhɤ̄ŋgɤ́	CCV CV̈CV̈CCCV̈	u ööö
klùʌ̏	CCVV̈	uë
klūʌ	CCVV̈	uë
klūʌdhūn	CCVV̈CCV CV̈	uëu ü
klùū	CCVV	uu
kȍ	CV	o
kō	CV	o
kō	CV	o
kō	CV	o
kó	CV	o
kó	CV	o
kó	CV	o
kö	CV	o
kô	CV	o
kōʌ	CVV̈	oë
kōʌ̏	CVV̈	oë
kōʌ̏	CVV̈	oë
kóʌ	CVV̈	oë
kóʌ	CVV̈	oë
kóʌ̏	CVV̈	oë
kóʌʌ	CVV̈V̈	oëë
kóʌ̏ʌn	CVV̈V̈C	oëë
kōgȁ	CVCV	oa
kōká	CVCV	oa
kòŋ	CVCC	o
kōŋ̏	CVCC	o
kȍo	CVV	oo
kósɯ́dhē	CVCV̈CV	oüe
kɔ̏	CV	ɔ
kɔ̏	CV	ɔ
kɔ̏	CV	ɔ
kɔ̏	CV	ɔ
kɔ́	CV	ɔ
kɔ̏apʌ̄	CVVCV̈	ɔaë
kɔ́bhádhán	CVCCVCV	ɔaa
kɔ́bhíŋdhɤ̄	CVCCVCCCV̈	ɔiö
kɔ̏dhʌ́ngā	CVCV̈CV	ɔëa
kɔ̏dhʌ́ngā dɔ̄ zīʌn	CVCV̈CV CV CVV̈C	ɔëa ɔ ië
kɔ̏dhʌ́ngā gɔ̄n	CVCV̈CV CVC	ɔëa ɔ
kɔ̏dhʌ́ngā gbáazʌ̏	CVCV̈CV CCVVCV̈	ɔëa aaë
kɔ̏dhʌ́ngā vàzʌ̏	CVCV̈CV vVCV̈	ɔëa vaë
kɔ́dhʌ́ntée	CVCV̈CVV	ɔëee
kɔ̏dhɛ	CVCV	ɔɛ
kɔ̏dhɛ́	CVCV	ɔɛ
kɔ̏dhɛkwɛ̏ɛ	CVCVCwVV	ɔɛwɛɛ
kɔ̏dhɛtȁa	CVCVCVV	ɔɛaa
kɔ́dhi	CVCV	ɔi
kɔ́dhɔ̏ŋdhɔ́	CVCVCCCV	ɔɔɔ
kɔ̏klʌ̀ {ɛ̀}?	CVCCV̈ {V}?	ɔë {ɛ}?
kɔ̏kpȉ	CVCCV	ɔi
kɔ̏kpɤ̄	CVCCV̈	ɔö
kɔ̏kpɤ̄ɤdhɛ̏	CVCCV̈V̈CV	ɔööɛ
kɔ̏kwɛ̄ɛ	CVCwVV	ɔwɛɛ
kɔ̏kwɛ̄ɛdhɛ̏	CVCwVVCV	ɔwɛɛɛ
kɔ̏lɤ̀ɤ	CVCV̈V̈	ɔöö
kɔ́nkɔ̏n	CVCCVC	ɔɔ
kɔ̄ŋ	CVCC	ɔ
kɔ̏ɔ	CVV	ɔɔ
kɔ̏ɔ	CVV	ɔɔ
kɔ̄ɔ	CVV	ɔɔ
kɔ̀ɔbhɛ̏n	CVVCCV	ɔɔɛ
kɔ̄ɔbhɛ̏n	CVVCV	ɔɔɛ
kɔ̄ɔdhɛ̏	CVVCV	ɔɔɛ
kɔ̀ɔngɔ̏ɔn	CVVCCVVC	ɔɔɔɔ
kɔ̏tȁa	CVCVV	ɔaa
kɤ̏	CV̈	ö
kɤ̄	CV̈	ö
kɤ́	CV̈	ö
kɤ̀dhàn kɤ́dhán	CV̈CV CV̈CV	öa öa
kɤ́dhánkɤ̏dhȁn	CV̈CVCV̈CV	öaöa
kɤ̏pʌ̄	CV̈CV̈	öë
kú	CV	u
kūʌdhūn	CVV̈CCV	uëu
kúbhádhán	CVCVCV	uaa
kȕlȕ	CVCV CV̈	uu ü
kùn	CVC	u
kùn	CVC	u
kūn	CVC	u
kún	CVC	u
kùŋ̂	CVCC	u
kùɤ̏	CVV̈	uö
kȕɤgā	CVV̈CV	uöa
kȕu	CVV	uu
kɯ̄ʌkɯ̄ʌ	CV̈V̈CV̈V̈	üëüë
kpȁ	CCV	a
kpȁ	CCV	a
kpā	CCV	a
kpá	CCV	a
kpá	CCV	a
kpȁa	CCVV	aa
kpàa	CCVV	aa
kpáä	CCVV	aa
kpàadhɛ̏n	CCVVCCV	aaɛ
kpàakpá	CCVVCCV	aaa
kpáakpȁ	CCVVCCV	aaa
kpáakpȁdhɛ	CCVVCCVCV	aaaɛ
kpáan	CCVVC	aa
kpàanzʌ̏	CCVVCCV̈	aaë
kpâbhɔ̏n	CCVCCV	aɔ
kpádhɤ̄	CCVCV̈	aö
kpȁkpȁdhɤ̄	CCVCCVCV̈	aaö
kpákpádhɤ̄	CCVCCVCV̈	aaö
kpān	CCVC	a
kpán	CCVC	a
kpán	CCVC	a
kpanklù	CCVCCCV	au
kpāsɛ̄n	CCVCVC	aɛ
kpàɯ̏	CCVV̈	aü
kpɒ̀ɒ̄	CCVV	aɔ
kpɒ̀ɒ̄	CCVV	aɔ
kpɒ̀ɒ̄zʌ̏	CCVVCV̈	aɔë
kpæ̀ǣ	CCVV	ɛa
kpǽæ	CCVV	ɛa
kpʌ̀	CCV̈	ë
kpʌ̄	CCV̈	ë
kpʌ́dhɤ̄	CCV̈CV̈	ëö
kpʌ̏n	CCV̈C	ë
kpʌ̀ŋ	CCV̈CC	ë
kpʌ̀ŋ	CCV̈CCC CV̈	ë ü
kpʌ́ŋ	CCV̈CCC	ë
kpʌ́ŋ̈	CCV̈CCC	ë
kpʌ́ŋ̈zʌ̏	CCV̈CCCCV̈	ëë
kpʌ̀ɯ	CCV̈V̈	ëü
kpʌ̀ɯ̄	CCV̈V̈	ëü
kpédhán	CCVCV	ea
kpée	CCVV	ee
kpée	CCVV	ee
kpéŋ	CCVCC	e
kpéŋ sīɔgā	CCVCC CVVCV	e iɔa
kpēŋdhɤ	CCVCCCV̈	eö
kpɛ́ȁnkpɛ́ȁdhɤ̄n	CCVVCCCVVCCV̈	ɛaɛaö
kpɛ́ɛdhɤ̄	CCVVCV̈	ɛɛö
kpɛ́ɛkpɛ́	CCVVCCV	ɛɛɛ
kpɛ̄ɛn	CCVVC	ɛɛ
kpɛ́i	CCVV	ɛi
kpɛ́kpɛ́	CCVCCV	ɛɛ
kpɛ̄ŋ	CCVCC	ɛ
kpɛ̄ŋdhɤ	CCVCCCCV̈	ɛö
kpɛ̄ŋdhɤ	CCVCCCCV̈	ɛö
kpɛ̏zʌ̏	CCVCV̈	ɛë
kpìādhɤn	CCVVCCV̈	iaö
kpíänkpíädhɤ̄n	CCVVCCCVVCCV̈	iaiaö
kpíankpȉan	CCVVCCCVVC	iaia
kpíʌkpȉʌ	CCVV̈CCVV̈	iëië
kpíï	CCVV	ii
kpīidhɤn	CCVVCCV̈	iiö
kpȉin	CCVVC	ii
kpȉiŋ	CCVVCC	ii
kpȉiŋgā	CCVVCCCV	iia
kpíïzʌ̏	CCVVCV̈	iië
kpíkpȉ	CCVCCV	ii
kpȉŋ	CCVCC	i
kpȉŋ	CCVCC	i
kpȉŋ	CCVCCC	i
kpīŋdhɤ	CCVCCCV̈	iö
kpȉŋgā	CCVCCCV	ia
kpȉŋgā	CCVCCCCV	ia
kplȁ	CCCV	a
kplá	CCCV	a
kpláakplȁ	CCCVVCCCV	aaa
kpláakplȁdhɛ	CCCVVCCCVCV	aaaɛ
kplán	CCCVC	a
kplȁwō	CCCVwV	awo
kplɒ̏ɒ	CCCVV	aɔ
kplʌ̀ʌ	CCCV̈V̈	ëë
kplʌ́n	CCCV̈C	ë
kplɛ̏	CCCV	ɛ
kplɛ̏kplɛ́	CCCVCCCV	ɛɛ
kpló	CCCV	o
kplóŋ	CCCVCC	o
kplòo	CCCVV	oo
kplōo	CCCVV	oo
kplɔ̄	CCCV	ɔ
kplɔ̏ŋgȅ	CCCVCCCV	ɔe
kplɔ́ŋkplɔ̏ŋ	CCCVCCCCCVCC	ɔɔ
kplɔ̀ɔ̄	CCCVV	ɔɔ
kplɔ̄ɔn	CCCVVC	ɔɔ
kplɔ̄ɔngā	CCCVVCCV	ɔɔa
kplɤ́	CCCV̈	ö
kplɤ̄ɤ̂	CCCV̈V̈	öö
kplɤ́zȕɤbhɛ̏n	CCCV̈CVV̈CV	öuöɛ
kplūʌn	CCCVV̈C	uë
kplùū	CCCVV	uu
kplɯ̀ʌ̄kplɯ̏ʌkplɯ̀ʌ̄dhɤ	CCCV̈V̈CCCV̈V̈CCCV̈V̈CV̈	üëüëüëö
kplɯ̄ŋ	CCCV̈CC	ü
kplɯ̄ŋzʌ̏	CCCV̈CCCV̈	üë
kpȍ	CCV	o
kpó	CCV	o
kpódha	CCVCV	oa
kpódhazʌ̏	CCVCVCV̈	oaë
kpódhɤ̄	CCVCV̈	oö
kpókpódhɤ̄	CCVCCVCV̈	ooö
kpȍlɯ́	CCVCV̈	oü
kpȍŋ	CCVCC	o
kpōŋ	CCVCC	o
kpōŋ	CCVCC	o
kpóŋ	CCVCC	o
kpòŋdhēe	CCVCCCVV	oee
kpòŋdhēe	CCVCCCVV	oee
kpóŋtàa	CCVCCCVV	oaa
kpóŋtàadhɛ̏	CCVCCCVVCV	oaaɛ
kpòō	CCVV	oo
kpōo	CCVV	oo
kpòōdhɛ̏	CCVVCV	ooɛ
kpɔ́	CCV	ɔ
kpɔ̄a	CCVV	ɔa
kpɔ́bhɛ̏n	CCVCV	ɔɛ
kpɔ̄n	CCVC	ɔ
kpɔ̄ngɔ̏	CCVCCV	ɔɔ
kpɔ̄ŋ	CCVCC	ɔ
kpɔ̏ɔ	CCVV	ɔɔ
kpɔ̀ɔ̏	CCVV	ɔɔ
kpɔ̏ɔ kpɤ̄	CCVV CCV̈	ɔɔ ö
kpɔ̀ɔ yīʌ	CCVV CVV̈	ɔɔ ië
kpɔ̏ɔn	CCVVC	ɔɔ
kpɤ̄	CCV̈	ö
kpɤ̄nglɤ̄ɤ	CCV̈CCCV̈V̈	ööö
kpɤ̄ɤ	CCV̈V̈	öö
kpɤ́ɤ	CCV̈V̈	öö
kpɤ́ɤ̈kpȁŋgȍ	CCV̈V̈CCVCCCV	ööao
kpɤ́ɯ	CCV̈V̈	öü
kpū	CCV	u
kpȕa	CCVV	ua
kpȕa	CCVV	ua
kpūan	CCVVC	ua
kpúʌ	CCVV̈	uë
kpúdhɤ̄	CCVCV̈	uö
kpúkpúdhɤ̄	CCVCCVCV̈	uuö
kpūŋ	CCVCC	u
kpɯ́dhɤ̄	CCV̈CV̈	üö
kwȁ	CwV	wa
kwā	CwV	wa
kwā	CwV	wa
kwā	CwV	wa
kwá	CwV	wa
kwá	CwV	wa
kwá	CwV	wa
kwä	CwV	wa
kwâ	CwV	wa
kwàȁ	CwVV	waa
kwàâ	CwVV	waa
kwāa	CwVV	waa
kwāȁ	CwVV	waa
kwāȁ	CwVV	waa
kwáa	CwVV	waa
kwáä	CwVV	waa
kwàabhɛ̏n	CwVVCCV	waaɛ
kwàan	CwVVC	waa
kwáän	CwVVC	waa
kwàanglȕdȁbhɛ̏n	CwVVCCCVCVCV	waauaɛ
kwàansɯ̏	CwVVCCV̈	waaü
kwāâzʌ̏	CwVVCV̈	waaë
kwāká	CwVCV	waa
kwán	CwVC	wa
kwāŋ̏	CwVCC	wa
kwæ̀æ	CwVV	wɛa
kwǽæ	CwVV	wɛa
kwǽæ̏dhɛn	CwVVCCV	wɛaɛ
kwǽæ̏dhɤ̄n	CwVVCCV̈	wɛaö
kwǽæ̏n	CwVVC	wɛa
kwʌ̄ʌ̏	CwV̈V̈	wëë
kwēe	CwVV	wee
kwēezʌ̏	CwVVCV̈	weeë
kwēezɤ̄	CwVVCV̈	weeö
kwɛ̏	CwV	wɛ
kwɛ̄	CwV	wɛ
kwɛ̀ɛ̏	CwVV	wɛɛ
kwɛ̀ɛ̏	CwVV	wɛɛ
kwɛ̀ɛ̄	CwVV	wɛɛ
kwɛ̀ɛ̄	CwVV	wɛɛ
kwɛ̄ɛ	CwVV	wɛɛ
kwɛ́ɛ	CwVV	wɛɛ
kwɛ̄ɛdhɛ̏	CwVVCV	wɛɛɛ
kwɛ́ɛ̈dhɛ̏n	CwVVCCV	wɛɛɛ
kwɛ̄ɛ̂zʌ̏	CwVVCV̈	wɛɛë
kwɛ́i	CwVV	wɛi
kwɛ́n yȁn	CwVC CVC	wɛ a
kwī	CwV	wi
kwí	CwV	wi
kwí plɤ̀ɤ	CwV CCV̈V̈	wi öö
kwí plɤ̀ɤ dhɛ̏	CwV CCV̈V̈ CV	wi öö ɛ
kwí pɤ̂ và	CwV CV̈ vV	wi ö va
kwí tɔ̏	CwV CV	wi ɔ
kwíä bhɔ̏n	CwVV CV	wia ɔ
kwíʌ̈dhóo	CwVV̈CVV	wiëoo
kwīgā	CwVCV	wia
kwīgā kʌ̄ bhɛ̏n	CwVCV CV̈ CV	wia ë ɛ
kwīgā kɔ̀ɔn bhɛ̏n	CwVCV CVVC CV	wia ɔɔ ɛ
kwlá	CwCV	wa
kwlá téezʌ̏	CwCV CVVCV̈	wa eeë
kwlàȁ	CwCVV	waa
Kwlæ̀ǣdhɤn	KwCVVCCV̈	Kwɛaö
kwlɛ̀ɛ̏	CwCVV	wɛɛ
là	CV	a
làā	CVV	aa
làbáŋ̈	CVCVCC	aa
lagīdhēn	CVCVCV	aie
làkédhe	CVCVCV	aee
lȁn	CVC	a
làn	CVC	a
lân	CVC	a
lân kɔ́	CVC CV	a ɔ
lantra	CVCCCV	aa
làŋbáä	CVCCCVV	aaa
lāŋ̂	CVCC	a
lāsó	CVCV	ao
lɒ̄ɒn	CVVC	aɔ
lǽængǽæ̏n	CVVCCVV	ɛaɛa
lʌ̂	CV̈	ë
lʌ̂	CV̈	ë
lʌ̏ʌdhɤ̄	CV̈V̈CV̈	ëëö
lʌ́ʌ̈lʌ̄	CV̈V̈CV̈	ëëë
lʌ́ʌ̈nzʌ̏	CV̈V̈CCV̈	ëëë
lʌ̂kʌ̄dhʌ̏n	CV̈CV̈CCV̈	ëëë
lʌ̂kʌ̄dhʌ̏ngā	CV̈CV̈CCV̈CV	ëëëa
lʌ̏n	CV̈C	ë
lʌ̄ŋ	CV̈CC	ë
lʌ̄ŋgɯ́dhɛ̏	CV̈CCCV̈CV	ëüɛ
lʌ̄ŋlʌ̄ŋ	CV̈CCCV̈CC	ëë
lʌ̄ŋ̂	CV̈CCC	ë
lʌ́ŋ̈	CV̈CC	ë
lʌ́ŋ̈dhɛ̏	CV̈CCCV	ëɛ
lʌ̂zʌ̏	CV̈CV̈	ëë
lɛ́ɛlɛ̏	CVVCV	ɛɛɛ
lɛ́lɛ́	CVCV	ɛɛ
lɛ́ŋlɛ̏ŋ	CVCCCVCC	ɛɛ
lȍ	CV	o
lȍ	CV	o
lòkö	CVCV	oo
lóŋ	CVCC	o
lȍo	CVV	oo
lōo	CVV	oo
lɔ̀ŋ	CVCCC	ɔ
lɔ̀ŋ̏	CVCC	ɔ
lɔ́ɔ̈	CVV	ɔɔ
lɔ́ɔ̈fìʌ̄	CVVfVV̈	ɔɔfië
lɔ́ɔn	CVVC	ɔɔ
lɔ̄ɔn lɯ̏	CVVC CV̈	ɔɔ ü
lɔ̄ɔngā	CVVCCV	ɔɔa
lɔ̀ɔzʌ̏	CVVCV̈	ɔɔë
lɤ̏	CV̈	ö
lɤ̏	CV̈	ö
lɤ́	CV̈	ö
lɤ́	CV̈	ö
lɤ̀ɤ	CV̈V̈	öö
lɤ̀ɤ	CV̈V̈	öö
lɤ́ɤ	CV̈V̈	öö
lɤ́ɤdhɤ̄	CV̈V̈CV̈	ööö
lɤ̏sɔ̏	CV̈CV	öɔ
lɤ́ɯlɤ̏	CV̈V̈CV̈	öüö
lùû	CVV	uu
lúu	CVV	uu
lúu kpá	CVV CCV	uu a
lúulȕ	CVVCV	uuu
lɯ̏	CV̈	ü
lɯ́	CV̈	ü
lɯ́ kpǽæ	CV̈ CCVV	ü ɛa
lɯ́dhʌ́n	CV̈CV̈	üë
lɯ́dhɛ̀ɛ̄dhɤ	CV̈CVVCV̈	üɛɛö
lɯ́gɔ̏kpɤ̄	CV̈CVCCV̈	üɔö
lɯ́gúŋpā	CV̈ CVCCCV	ü ua
lɯ́kìā	CV̈CVV	üia
lɯ́kɔ̏dhʌ́n	CV̈CVCV̈	üɔë
lɯ́kɔ̏ɔ	CV̈CVV	üɔɔ
lɯ́ɯdhɤ̄	CV̈V̈CV̈	üüö
lɯ́ɯdhɤ̄	CV̈V̈CV̈	üüö
Máadhɤ̄	MVVCCV̈	Maaö
ō	V	o
ōo	VV	oo
ɔ̏	V	ɔ
ɤ̏	V̈	ö
ɤ̏	V̈	ö
ɤ̏	V̈	ö
ɤ̄	V̈	ö
ɤ̄	V̈	ö
ɤ́	V̈	ö
ɤ́	V̈	ö
ɤ̈	V̈	ö
pā	CV	a
pā	CV	a
pā	CV	a
pá	CV	a
pàâ	CVV	aa
páa	CVV	aa
pāafɛ̈n	CVVfVC	aafɛ
pāâgɔ́bhɛ̏n	CVVCVCV	aaɔɛ
páan	CVVC	aa
pádhe	CVCV	ae
pāŋ	CVCC	a
pápá	CVCV	aa
pápádhɤ̄	CVCVCV̈	aaö
pāyɛ́ɛ̈n	CVCVVC	aɛɛ
pɒ́ɒ	CVV	aɔ
pɒ́ɒgā	CVVCV	aɔa
pæ̀ǣ	CVV	ɛa
pʌ̄	CV̈	ë
pʌ̄	CV̈	ë
pʌ́	CV̈	ë
pʌ̄ dhíɤ̈	CV̈ CVV̈	ë iö
pʌ̄ kpɤ̄	CV̈ CCV̈	ë ö
pʌ́ʌ̈	CV̈V̈	ëë
pʌ́ʌpʌ̏	CV̈V̈CV̈	ëëë
pʌ̄bȉdhɛn	CV̈CVCCV	ëiɛ
pʌ̄bhlé	CV̈CCV	ëe
pʌ̄gā	CV̈CV	ëa
pʌ̄kàāpʌ̏	CV̈CVVCV̈	ëaaë
pʌ̏-kʌ̄	CV̈ CV̈	ë ë
pʌ̄kpȁbhɛ̏n	CV̈CCVCV	ëaɛ
pʌ̄kpȁdhɛ	CV̈CCVCV	ëaɛ
pʌ̄tée	CV̈CVV	ëee
pȅ	CV	e
pȅ	CV	e
pēdhēn	CVCV	ee
pēdhēngā	CVCVCV	eea
pēe	CVV	ee
pȅedʌ̄	CVVCV̈	eeë
pēedhɛ̀n	CVVCV	eeɛ
pɛ́	CV	ɛ
pɛ̀ɛ̂	CVV	ɛɛ
pɛ̀ɛ̄sɯ̏	CVVCV̈	ɛɛü
pɛ̏n	CVC	ɛ
pɛ̏n	CVC	ɛ
pɛ́n	CVC	ɛ
pɛ̂n	CVC	ɛ
pɛ̏n yùā	CVC CVV	ɛ ua
pɛ̄ŋ	CVCCC	ɛ
pɛ̄ŋgā	CVCCC CV	ɛ a
pȉa	CVV CV̈	ia ü
pīan	CVVC	ia
pían	CVVC	ia
pían	CVVC	ia
pȉʌ	CVV̈	ië
pȉʌn	CVV̈C	ië
pīʌn	CVV̈C	ië
píʌnpíʌn	CVV̈CCVV̈C	iëië
píi	CVV	ii
pīidhɤn	CVVCCV̈	iiö
píigɯ́dhɛ̏	CVVCV̈CV	iiüɛ
píigbéëdhɛ̏	CVVCCVVCV	iieeɛ
pȉikɔ́	CVVCV	iiɔ
pȉiŋdhɤ̄	CVVCCCV̈	iiö
píitàa	CVVCVV	iiaa
píitàadhɛ̏	CVVCVVCV	iiaaɛ
pīn	CVC	i
pìô	CVV	io
píɔnpȉɔn	CVVCCVVC	iɔiɔ
píɔŋpȉɔŋ	CVVCCCVVCC	iɔiɔ
pȉɤ	CVV̈	iö
pȉɤ	CVV̈	iö
pìɤ̄	CVV̈	iö
píɤ	CVV̈	iö
pȉɤbhȁn	CVV̈CV	iöa
pȉɤgā	CVV̈CV	iöa
pìɤ̄gā	CVV̈CV	iöa
pȉɤgbɔ̄	CVV̈CCV	iöɔ
píɤklɤ̀ɤ̂zʌ̏	CVV̈CCV̈V̈CV̈	iöööë
pīɤŋdhɤ	CVV̈CCCV̈	iöö
pȉɤsáŋ	CVV̈CVCC	iöa
pȉɤsòo	CVV̈CVV	iöoo
pȉɤsɯ́	CVV̈CV̈	iöü
plȁ	CCV	a
plȁadhɛ	CCVVCV	aaɛ
plāan	CCVVC	aa
plàkàī	CCVCVV	aai
plàŋ̂	CCVCC	a
plʌ̀ʌn	CCV̈V̈C	ëë
plʌ́ʌplʌ̏	CCV̈V̈CCV̈	ëëë
plʌ̀ʌplʌ́zʌ̏	CCV̈V̈CCV̈CV̈	ëëëë
plʌ̀ʌ̂zʌ̏	CCV̈V̈CV̈	ëëë
plʌ́ŋ	CCV̈CC	ë
plɛ̀	CCV	ɛ
plɛ̀	CCV	ɛ
plɛ́	CCV	ɛ
plɛ́ŋplɛ̏ŋ	CCVCCCCVCC	ɛɛ
plɛ̀ŋ̄zʌ̏	CCVCCCV̈	ɛë
plȍo	CCVV	oo
plòô	CCVV	oo
plɔ̏	CCV	ɔ
plɔ̏gā	CCVCV	ɔa
plɔ̏ŋ	CCVCC	ɔ
plɔ̏ɔ	CCVV	ɔɔ
plɔ́ɔ	CCVV	ɔɔ
plɤ̀ɤ	CCV̈V̈	öö
plɤ̄ɤ	CCV̈V̈	öö
plɤ̄ɤdhɛ̏	CCV̈V̈CV	ööɛ
plɤ́ɤnplɤ̏	CCV̈V̈CCCV̈	ööö
plɯ́ŋ	CCV̈CC	ü
plɯ́plɯ̏	CCV̈CCV̈	üü
pó	CV	o
póŋ	CVCC	o
pōo	CVV	oo
pōo kùn	CVV CVC	oo u
pȍtàāsɯ̏	CVCVVCV̈	oaaü
pȍtàāsɯ̏	CVCVVCV̈	oaaü
póɯ̈	CVV̈	oü
pɔ́dhɤ̄	CVCV̈	ɔö
pɔ́n	CVC	ɔ
pɔ̄ɔ̂	CVV	ɔɔ
pɔ́ɔ̈	CVV	ɔɔ
pɔ́ɔn	CVVC	ɔɔ
pɤ̄	CV̈	ö
pɤ́	CV̈	ö
pɤ̂	CV̈	ö
pɤ̂dhɛ̏	CV̈CV	öɛ
pɤ̀ɯ̄	CV̈V̈	öü
pùʌn	CVV̈C	uë
púʌŋpȕʌŋ	CVV̈CCCVV̈CC	uëuë
púɛ̈ {yùā}	CVV {CVV}	uɛ {ua}
pún	CVC	u
púpú{-dhȕ}n	CVCV {CV}	uu {u}
pùū	CVV	uu
púu	CVV	uu
pɯ̏ɤ	CV̈V̈	üö
pɯ́ɯ	CV̈V̈	üü
sā	CV	a
sá	CV	a
sȁa	CVV	aa
sàa	CVV	aa
sāâ	CVV	aa
sáa	CVV	aa
sàa kɔ́	CVV CV	aa ɔ
sàadhē	CVVCV	aae
sàādhen	CVVCCV	aae
sàādhenkʌ̄bhɛ̏n	CVVCCVCV̈CV	aaeëɛ
sáadhɤ̄	CVVCV̈	aaö
sȁan	CVVC	aa
sàān	CVVC	aa
sáan	CVVC	aa
sȁangā	CVVCCV	aaa
säblà	CVCCV	aa
sȁdhen	CVCCV	ae
sákásákádhɤ̄	CVCVCVCVCV̈	aaaaö
sȁkpá	CVCCV	aa
sȁn	CVC	a
sān	CVC	a
sán	CVC	a
sán	CVC	a
sángó dhɤ̀ɤ dhɤ́	CVCCV CV̈V̈ CV̈	ao öö ö
sȁnzʌ̄dhe	CVCCV̈CV	aëe
sɒ̄ɒ	CVV	aɔ
sɒ́ɒ	CVV	aɔ
sɒ̏ɒn	CVVC	aɔ
sʌ̏	CV̈	ë
sʌ̏	CV̈	ë
sʌ̀ʌ̄	CV̈V̈	ëë
sʌ̀ʌ̂	CV̈V̈	ëë
sʌ́ʌ	CV̈V̈	ëë
sʌ́ʌ̈	CV̈V̈	ëë
sʌ́ʌ̈	CV̈V̈	ëë
sʌ̏ʌdhʌ́n	CV̈V̈CV̈	ëëë
sʌ́ʌdhɛ̄	CV̈V̈CV	ëëɛ
sʌ́ʌdhɛ̏bȅ	CV̈V̈CVCV	ëëɛe
sʌ́ʌdhɛkɔ́	CV̈V̈CVCV	ëëɛɔ
sʌ̏ʌzʌ̏	CV̈V̈CV̈	ëëë
sʌ̏bhɛ̏n	CV̈CV	ëɛ
sʌ̏dhɛ	CV̈CV	ëɛ
sʌ́nsʌ́dhɤ̄n	CV̈CCV̈CCV̈	ëëö
sʌ̄ŋ	CV̈CCC	ë
sʌ́ŋ	CV̈CCC	ë
sʌ̄ŋgbʌ̄	CV̈CCCCV̈	ëë
sʌ́ŋsʌ̏	CV̈CCCV̈	ëë
sé	CV	e
sèê	CVV	ee
sēi	CVV	ei
séŋdhɤ̄	CVCCCV̈	eö
séŋséŋdhɤ̄	CVCCCVCCCV̈	eeö
sɛ́	CV	ɛ
sɛ̄ȁ	CVV	ɛa
sɛ̄ȁbɛ̏n	CVVCVC	ɛaɛ
sɛ̄ȁzȉan	CVVCVVC	ɛaia
sɛ́dʌ̄	CVCV̈	ɛë
sɛ́dhɛ́n	CVCV	ɛɛ
sɛ̏ɛ	CVV	ɛɛ
sɛ̀ɛ̏	CVV	ɛɛ
sɛ̀ɛ̄	CVV	ɛɛ
