lex	Str	vowels
bhānzīgā	CVCVCV	aia
bhàŋ	CVCC	a
bhàŋ̄	CVCC	a
bhàŋbhá	CVCCCV	aa
bháŋgló	CVCCCCV	ao
bhȁŋgɤ̏	CVCCCV̈	aö
bhàŋ̄zʌ̏{dhȕ}n	CVCCCV̈ {CV}	aë {u}
bhȁwȕn	CVwVC	awu
bházʌ̏	CVCV̈	aë
bházʌ̏	CVCV̈	aë
bhɒ̀ɒ̄	CVV	aɔ
bhɒ̄ɒ	CVV	aɔ
bhɒ́ɒdhɤ̄	CVVCV̈	aɔö
bhɒ́ɒ-dhȕn	CVV CV	aɔ u
bhɒ̄ɒgā	CVVCV	aɔa
bhɒ́ɒŋ̏	CVVCC	aɔ
bhɒ́ɒŋ̏{zʌ̏}-dhȕn	CVVCC {CV̈} CV	aɔ {ë} u
bhæ̏æ	CVV	ɛa
bhæ̀æ̂	CVV	ɛa
bhæ̏æn	CVV	ɛa
bhæ̏ængā	CVVCV̄	ɛaā
bhʌ̄	CV̈	ë
bhʌ̄	CV̈	ë
bhʌ́ʌ	CV̈V̈	ëë
bhʌ̄ʌn yɔ̏n	CV̈V̈ CVC	ëë ɔ
bhʌ̏bhɛ̄npíɤdhē	CV̈CVCVV̈CV	ëɛiöe
bhʌ̏n	CV̈	ë
bhʌ́n	CV̈	ë
bhʌ́n	CV̈	ë
bhʌ̄ŋ	CV̈CC	ë
bhʌ́ŋ	CV̈CC	ë
bhē	CV	e
bhé	CV	e
bhèā	CVV CV̈	ea ü
bhéȉ	CVV	ei
bhéȉzʌ̏	CVVCV̈	eië
bhēŋ	CVCC	e
bhɛ̄	CV	ɛ
bhɛ́bhán	CVCV	ɛa
bhɛ́ɛbhɛ̏	CVVCV	ɛɛɛ
bhɛ̏ɛn	CVV	ɛɛ
bhɛ̀ɛn	CVV	ɛɛ
bhɛ̀ɛ̂n	CVV	ɛɛ
bhɛ̄ɛn	CVV	ɛɛ
bhɛ̄ɛ̂n	CVV	ɛɛ
bhɛ̏ɛnzʌ̏	CVVCV̈	ɛɛë
bhɛ̄gɯ́dhɛ̏	CVCV̈CV	ɛüɛ
bhɛ́i	CVV	ɛi
bhɛ́lɛ́bhɛ̏lɛ̏	CVCVCVCV	ɛɛɛɛ
bhɛ̏n	CV	ɛ
-bhɛ̏n	CV	ɛ
bhɛ̄n	CV	ɛ
bhɛ̄n	CV	ɛ
bhɛ̄n tīi sɛ̏	CV CVV CV	ɛ ii ɛ
bhɛ̄nsʌ̏	CVCV̈	ɛë
bhɛ̄ŋ	CVCC	ɛ
bhī	CV	i
bhī	CV	i
bhían	CVV	ia
bhīɒŋ	CVVVCC	iaɔ
bhīɒŋ	CVVVCC	iaɔ
bhīɒŋgā	CVVVCCCV	iaɔa
bhìʌ̄n	CVV̈	ië
bhīdhīntɤ̄	CVCVCV̈	iiö
bhīi	CVV	ii
bhìibhín	CVVCV	iii
bhīin yɔ̏n	CVV CVC	ii ɔ
bhīingā	CVVCV	iia
bhīiŋ	CVVCC	ii
bhīn	CV	i
bhȉŋ	CVCC	i
bhīŋ	CVCC	i
bhīŋ	CVCC	i
bhíŋ	CVCC	i
bhīŋbhiŋdhɤ	CVCCCVCCCV̈	iiö
bhīŋgā	CVCCCV	ia
bhīɤ̏fǽædʌ̄	CVV̈fVVCV̈	iöfɛaë
bhlȁ	CCV	a
bhlȁ	CCV	a
bhlà	CCV	a
bhlá	CCV	a
bhlāȁ	CCVV	aa
bhláa	CCVV	aa
bhláabhlȁ	CCVVCCV	aaa
bhlʌ̀	CCV̈	ë
bhlʌ́	CCV̈	ë
bhlʌ̀kʌ̄pʌ̏	CCV̈CV̈CV̈	ëëë
bhlʌ̀kpɔ́dhē	CCV̈CCVCV	ëɔe
bhlʌ̀ŋ̂	CCV̈CC	ë
bhlʌ̀zʌ̏	CCV̈CV̈	ëë
bhlé	CCV	e
bhlɛ́ɛbhlɛ̏	CCVVCCV	ɛɛɛ
bhlɛ̀ȉ	CCVV	ɛi
bhlɛ́ŋbhlɛ̏ŋ	CCVCCCCVCC	ɛɛ
bhlō	CCV	o
bhlòô	CCVV	oo
bhlɔ̄	CCV	ɔ
bhlɔ̈bhlɔ̂	CCVCCV	ɔɔ
bhlɔ̏lɯ̏	CCVCV̈	ɔü
bhlɤ̂	CCV̈	ö
bhlɤ̂dhɛ̏	CCV̈CV	öɛ
bhlɤ́ŋbhlɤ̏	CCV̈CCCCV̈	öö
bhlɤ̀ɤ̏	CCV̈V̈	öö
bhlɤ̀ɤ̄gbȁa	CCV̈V̈ CCVV	öö aa
bhlȕ	CCV	u
bhlú	CCV	u
bhlúubhlȕzʌ̏	CCVVCCVCV̈	uuuë
bhlɯ̀	CCV̈	ü
bhnlā	CCV	a
bhnlàa	CCVV	aa
bhnlàa gɔ̄ɔ̂n	CCVV CVVC	aa ɔɔ
bhnlàȁbɔ̏	CCVVCV	aaɔ
bhnlàabɔ̏ bhɛ̀ɛ̂bhɛ̏n	CCVVCV CVVCV	aaɔ ɛɛɛ
bhnlʌ̏	CCV̈	ë
bhnlʌ̀ʌ	CCV̈V̈	ëë
bhnlʌ̀ʌ yùā	CCV̈V̈ CVV	ëë ua
bhnlʌ̄ʌzʌ̏	CCV̈V̈CV̈	ëëë
bhnlɛ́ŋbhlɛ̏ŋ	CCVCCCCVCC	ɛɛ
bhnlìi	CCVV	ii
bhnlɔ̏ɔ	CCVV	ɔɔ
bhnlɔ́ɔbhnlɔ̏	CCVVCCV	ɔɔɔ
bhnlūʌ	CCVV̈	uë
bhnlɯ̏	CCV̈	ü
bhȍ	CV	o
bhō	CV	o
bhóŋ	CVCC	o
bhōo	CVV	oo
bhòodhʌ́n	CVVCV̈	ooë
bhɔ̏	CV	ɔ
bhɔ̄	CV	ɔ
bhɔ̄	CV	ɔ
bhɔ́	CV	ɔ
bhɔ̏adhʌ	CVVCV̈	ɔaë
bhɔ̏an	CVV	ɔa
bhɔ̄ân	CVV	ɔa
bhɔ́ʌ̏	CVV̈	ɔë
bhɔ́bhnlí	CVCCV	ɔi
bhɔ̏dhɛn	CVCV	ɔɛ
bhɔ̏kúʌ̏	CVCVV̈	ɔuë
bhɔ̏n	CV	ɔ
bhɔ̏n	CV	ɔ
bhɔ̏n	CV	ɔ
bhɔ́ntrʌ̏	CVCCV̈	ɔë
bhɔ̏ŋ	CVCC	ɔ
bhɔ̄ŋ	CVCC	ɔ
bhɔ̄ŋ	CVCC	ɔ
bhɔ́ŋ zɔ̏	CVCC CV	ɔ ɔ
bhɔ̄ŋdhɛ̏	CVCCCV	ɔɛ
bhɔ̀ɔ̄	CVV	ɔɔ
bhɔ̄ɔ̏	CVV	ɔɔ
bhɔ́ɔ̏	CVV	ɔɔ
bhɔ̀ɔ̄bhɛ̏n	CVVCV	ɔɔɛ
bhɔ́ɔ̏kpʌ̀	CVVCCV̈	ɔɔë
bhɔ́ɔ̈n	CVV	ɔɔ
bhɔ̀ɔ̄pʌ̏	CVVCV̈	ɔɔë
bhɔ̀ɔ̄zʌ̏	CVVCV̈	ɔɔë
bhɔ́ɔzɔ̏	CVVCV	ɔɔɔ
bhɤ̏	CV̈	ö
bhɤ̏	CV̈	ö
bhɤ̏pʌ̏	CV̈CV̈	öë
bhɤ̀ɯ̏	CV̈V̈	öü
bhɤ̀ɯ̂	CV̈V̈	öü
bhɤ̏yíʌ	CV̈CVV̈	öië
bhȕaadhʌ	CVVVCV̈	uaaë
bhúabhȕan	CVVCVV	uaua
bhùān	CVV	ua
bhúʌ̏	CVV̈	uë
bhūn	CV	u
bhūŋbhuŋdhɤ	CVCCCVCCCV̈	uuö
bhūȕ	CVV	uu
bhúu	CVV	uu
bhūu gȁn	CVV CVC	uu a
bhūȕdhɤ̄	CVVCV̈	uuö
bhūun	CVV	uu
bhūȕn	CVV	uu
bhúun	CVV	uu
bhɯ́	CV̈	ü
bhɯ́	CV̈	ü
bhɯ́ʌŋbhɯ̏ʌŋ	CV̈V̈CCCV̈V̈CC	üëüë
bhɯ̏n	CV̈	ü
bhɯ̄n	CV̈	ü
bhɯ̄n	CV̈	ü
bhɯ̄ŋ	CV̈CC	ü
bhɯ̏ɤ	CV̈V̈	üö
bhɯ̏ɤ	CV̈V̈	üö
bhɯ̀ɤ̄	CV̈V̈	üö
bhɯ̄ɤ	CV̈V̈	üö
bhɯ́ɤ	CV̈V̈	üö
bhɯ́ɤ̏	CV̈V̈	üö
bhɯ̀ɤ̄dhʌ́n	CV̈V̈CV̈	üöë
bhɯ́ɤdhȅ	CV̈V̈CV	üöe
bhɯ̀ɤ̄gā	CV̈V̈CV	üöa
bhɯ̀ɤ̄gblōogā	CV̈V̈CCCVVCV	üöooa
bhɯ́sɯ̏	CV̈CV̈	üü
bhɯ́zʌ̏	CV̈CV̈	üë
dȁ	CV	a
dà	CV	a
dȁa	CVV	aa
dāa	CVV	aa
Dàādhɛ̏n	DVVCCV	Daaɛ
dàādhɛ̏n	CVVCCV	aaɛ
Dàān	DVVC	Daa
dàān	CVVC	aa
dàān	CVVC	aa
dàān dhɔ́ɔ yī	CVVC CVV CV	aa ɔɔ i
dàānwȍ	CVVCwV	aawo
dáawō	CVVwV	aawo
dȁdhʌ́ɯ	CVCV̈V̈	aëü
dȁdhʌ́ɯ	CVCV̈V̈	aëü
dān	CVC	a
dànsȅe	CVCCVV	aee
dàŋdá	CVCCCV	aa
dáŋdȁŋdáŋdhɤ̄	CVCCCVCCCVCCCV̈	aaaö
dȁplɤ̄ɤdhɛ̏	CVCCV̈V̈CV	aööɛ
dȁsɔ̏	CVCV	aɔ
dɒ̀ɒn	CVVC	aɔ
dɒ̄ɒn	CVVC	aɔ
dɒ́ɒn	CVVC	aɔ
dʌ̄	CV̈	ë
dʌ́ʌ̏	CV̈V̈	ëë
dʌ̄bhɛ̄n	CV̈CV	ëɛ
dʌ̄glúdhɛ̏	CV̈CCVCV	ëuɛ
dʌ̄kpɔ́dʌ̏	CV̈CCVCV̈	ëɔë
dʌ̏ɯ	CV̈V̈	ëü
dʌ̏ɯdʌ̏ɯ	CV̈V̈CV̈V̈	ëüëü
dʌ̏ɯdʌ̏ɯ	CV̈V̈CV̈V̈	ëüëü
dʌ̏ɯwō	CV̈V̈wV	ëüwo
dȅ	CV	e
dȅ	CV	e
dȅ	CV	e
dȅbɔ̏	CVCV	eɔ
dȅe	CVV	ee
dȅe	CVV	ee
dèŋ̄dȅ	CVCCCV	ee
dēpītē	CVCVCV	eie
dɛ̏	CV	ɛ
dɛ̏bhɛ̏n	CVCCV	ɛɛ
dɛ̏bhnlɔ̄ɔdʌ̄	CVCCVVCV̈	ɛɔɔë
dɛ́dɛ̏	CVCV	ɛɛ
dɛ̀ɛ	CVV	ɛɛ
dɛ̄ɛ̏n	CVVC	ɛɛ
dɛ̄ɛ̏n	CVVC	ɛɛ
dɛ̀ī	CVV	ɛi
dɛ̀īdȁbhɛ̏n	CVVCVCV	ɛiaɛ
dɛ̄n	CVC	ɛ
dȉan	CVVC	ia
dȉan	CVVC	ia
dìan	CVVC	ia
dȉʌ	CVV̈	ië
dìbhānsɯ̏	CVCVCV̈	iaü
dīȉ	CVV	ii
dīidhɤn	CVVCCV̈	iiö
dīin	CVVC	ii
dȉiŋ	CVVCC	ii
dȉn	CVC	i
dīn	CVC	i
dīn	CVC	i
dín	CVC	i
dín	CVC	i
dȉŋ	CVCC	i
dȉŋ	CVCC	i
dīɔŋ	CVVCC	iɔ
díɤŋ	CVV̈CC	iö
dō	CV	o
dō	CV	o
dōdō	CVCV	oo
dōdō	CVCV	oo
dòŋ	CVCC	o
dóŋdó	CVCCCV	oo
dȍo	CVV	oo
dōsɛ̄n	CVCVC	oɛ
dɔ̄	CV	ɔ
dɔ̄	CV	ɔ
dɔ̀ā	CVV	ɔa
dɔ̀ā	CVV	ɔa
dɔ̀ā	CVV	ɔa
dɔ̏dhɛ	CVCV	ɔɛ
dɔ̏n	CVC	ɔ
dɔ̏n	CVC	ɔ
dɔ̏n	CVC	ɔ
dɔ̄n	CVC	ɔ
dɔ́n	CVC	ɔ
dɔ́n	CVC	ɔ
dɔ́ŋdɔ̏n	CVCCCVC	ɔɔ
dɔ̀ɔ̄	CVV	ɔɔ
dɔ́ɔ	CVV	ɔɔ
dɔ̀ɔn	CVVC	ɔɔ
dɔ̏pɤ́ʌ̏	CVCV̈V̈	ɔöë
dɔ̏sɔ̄tȁ	CVCVCV	ɔɔa
dɔ̀ū	CVV	ɔu
dɔ̀ū lɯ̏	CVV CV̈	ɔu ü
dɤ̄	CV̈	ö
dɤ̀ŋ	CV̈CC	ö
dɤ̏ŋdhɤ	CV̈CCCV̈	öö
dɤ̀ŋ̄gā	CV̈CCCV	öa
dɤ́ŋgɤ́dɤ̏ŋgɤ̏	CV̈CC CV̈CC	ö ö
dɤ̄zʌ̏	CV̈CV̈	öë
drá	CCV	a
dràan	CCVVC	aa
dràān	CCVVC	aa
drʌ́ʌdrʌ̏	CCV̈V̈CCV̈	ëëë
drʌ́ʌndrʌ̏n	CCV̈V̈CCCV̈C	ëëë
drɛ́ɛndrɛ̏n	CCVVCCCVC	ɛɛɛ
drɛ́ŋdrɛ̏ŋ	CCVCCCCVCC	ɛɛ
drȉiŋ	CCVVCC	ii
dródhɤ̄	CCVCV̈	oö
dróŋ	CCVCC	o
drɔ́ɔ	CCVV	ɔɔ
drɔ́ɔ bhūȁn	CCVV CVVC	ɔɔ ua
drɔ́ɔdrɔ̏	CCVVCCV	ɔɔɔ
drɔ̏ɔn	CCVVC	ɔɔ
drɤ́ŋdrɤ̏ŋ	CCV̈CCCCV̈CC	öö
drūʌ	CCVV̈	uë
drùɛ̏ɛ	CCVVV	uɛɛ
drùɛ̏n	CCVVC	uɛ
drùuŋ̂bhɛ̏	CCVVCCCV	uuɛ
drɯ́ʌdrɯ̏ʌ	CCV̈V̈CCV̈V̈	üëüë
drɯ̏ŋ	CCV̈CCC	ü
dȕ	CV	u
dȕ	CV	u
dú	CV	u
dùa	CVV	ua
dùā	CVV	ua
dúaandȕan	CVVVCCVVC	uaaua
dùākʌ̄pʌ̏	CVVCV̈CV̈	uaëë
dùān	CVVC	ua
dùʌ	CVV̈	uë
dùʌ	CVV̈	uë
dūʌ	CVV̈	uë
dȕʌlúu	CVV̈CVV	uëuu
dúdhɤ̄	CVCV̈	uö
dúeŋdhɤ̄	CVVCCCV̈	ueö
dȕɛ	CVV	uɛ
dȕklɔ̄ɔlɯ̏	CVCCVVCV̈	uɔɔü
dȕkwī	CVCwV	uwi
dūn	CVC	u
dùŋ	CVCCC	u
dúŋ	CVCC	u
dúŋ	CVCCC	u
dùɤ	CVV̈	uö
dūɤ	CVV̈	uö
dȕɤɤ	CVV̈V̈	uöö
dùū	CVV	uu
dùūdhɤ	CVVCV̈	uuö
dȕun	CVVC	uu
dɯ̄	CV̈	ü
dɯ́	CV̈	ü
dɯ́ʌ	CV̈V̈	üë
dɯ́ʌ-sɯ́	CV̈V̈ CV̈	üë ü
dɯ̄gɔ̏bhɛ̏n	CV̈CVCV	üɔɛ
dɯ́n	CV̈C	ü
dhȁ	CV	a
dhā	CV	a
dhā	CV	a
dhȁa	CVV	aa
dháȁ	CVV	aa
dhȁadhʌ́n	CVVCV̈	aaë
dhȁadhēn	CVVCV	aae
dhȁan	CVV	aa
-dhȁan	CVV	aa
dhàān	CVV	aa
dhȁankʌ̄bhɛ̏n	CVVCV̈CV	aaëɛ
dhàanzʌ̏	CVVCV̈	aaë
dháasí	CVVCV	aai
dhābhɯ̏ɤ	CVCV̈V̈	aüö
dhāgā	CVCV	aa
dhāgbláwȍ	CVCCCVwV	aawo
dhākpɤ̄	CVCCV̈	aö
-dhȁn	CV	a
dhān	CV	a
dhán	CV	a
dhán	CV	a
dhán và	CV vV	a va
dhāŋ̏	CVCC	a
dhāŋ̏gā	CVCCCV	aa
dháŋgá	CVCCCV	aa
dhāŋ̏gɯ́dhɛ̏	CVCCCV̈CV	aüɛ
dhàŋtàa	CVCCCVV	aaa
dhásígɔ̏bhɛ̏n	CVCVCVCV	aiɔɛ
dhāyán	CVCVC	aa
dhɒ̏ɒn	CVV	aɔ
dhɒ̀ɒn	CVV	aɔ
dhɒ̀ɒnpʌ̏	CVVCV̈	aɔë
dhʌ̏	CV̈	ë
dhʌ̀	CV̈	ë
dhʌ̀ʌ̂	CV̈V̈	ëë
dhʌ́ʌdhɤ̄	CV̈V̈CV̈	ëëö
dhʌ̀ʌn	CV̈V̈ CV̈	ëë ü
dhʌ̀ʌn	CV̈V̈	ëë
