id	\le	\leor	\ph	\u	\voc	\voir	\key	\src	\ps	\psr	\pf	\pfr	\pff	\dt	\ge	\gf	\gr	\egr	\ege	\egf
696	dhɛ́gā	'dhɛga	['dhɛ ga]					MG, LJ, KB	n	сущ				22/Aug/2007						
697	dhɛ̏gȁkɔ̏	-dhɛgakɔ	[-dhɛ -ga -kɔ]					LJ	n	сущ		ìåñòî-ñìîòðåòü-ñïîñîá		25/Jan/2011						
698	dhɛ̏gȁyȁn	-dhɛgayan	[-dhɛ -ga -yaan]				Artifact Object	KB, LJ	n	сущ	<place-regarder-materiel?>			23/Feb/2010						
699	dhɛ̏glōodhɛ̏	-dhɛgloodhɛ	[-dhɛ gloo -dhɛ]					LJ	n	сущ				01/Feb/2011						
700	dhɛ̏gȍpȉʌ	-dhɛgopië	[-dhɛ -go -pië]				Artifact Object	LJ	n	сущ				22/Aug/2007						
701	dhɛ̏kpɒ̀ɒdhíɤ	-dhɛkpaɔdhiö	[-dhɛ =kpaɔ 'dhiö, -dhɛ -kpaɔ 'dhiö]		iɤ		Static Time	LJ	n	сущ				25/Jan/2011						
702	dhɛ̏kpɒ̀ɒyȉ	-dhɛkpaɔyi	[-dhɛ =kpaɔ -yi]				Time	MG, LJ, DJ, GJ, CE, OD, SB	n	сущ				25/Jan/2011						
703	dhɛ̏lʌ́ʌ	-dhɛlëë	[-dhɛ 'lëë]		ʌʌ			LJ	n	сущ				22/Jun/2010						
704	dhɛ̀n	=nɛ						MG, LJ, GJ, DJ	dtm					26/Oct/2008						
705	dhɛ̄n	nɛ						LJ	n	сущ				23/Jan/2011						
706	dhɛn	nɛ-					Living Part		n	сущ	<*tongue>			26/Oct/2008						
707	dhɛngā	nɛga	[nɛ- ga]				Living Part		n	сущ	<*tongue>			30/Nov/2008						
708	dhɛ́ŋ	'nɛng						LJ	adj	прил				23/Jan/2011						
709	dhɛ̏pʌ́ʌ̏dhɛ	-dhɛpëëdhɛ	[-dhɛ 'pëë- -dhɛ]					DJ, LJ	n	сущ				30/Jan/2011						
710	dhɛ̏púu	-dhɛpuu	[-dhɛ 'puu -dhɛ]					LJ	n	сущ				07/Jan/2009						
711	dhɛ̏tīi	-dhɛtii	[-dhɛ tii]					LJ	n	сущ				29/Nov/2008						
712	dhɛ̏tīidhɛ̏	-dhɛtiidhɛ	[-dhɛ tii -dhɛ]						n	сущ				25/Jan/2011						
713	dhɛ̏yàāpʌ̏	-dhɛyaapë	[-dhɛ =yaa' -pë]				Artifact Object	DJ, LJ	n	сущ				09/Jan/2009						
714	dhɛ̏yȁbhɛ̏n	-dhɛyamɛ	[-dhɛ -ya -mɛ]				Human	DJ, LJ	n	сущ				22/Aug/2007						
715	dhȉ	-dhi				CV-AF		LJ	v	гл				25/Jan/2011						
716	dhī	dhi				CV-M			v	гл	<*good-2>			25/Jan/2011						
717	dhī	dhi						LJ	n	сущ				25/Jan/2011						
718	dhí	'dhi						MG, LJ, GA, CE, OD	n	сущ	<*mouth>			25/Jan/2011						
719	dhìa	=dhia			ia			LJ	loc.n	сущ.лок	<*ɗɛ̏ ɓȁ>	<*ɗɛ̏ ɓȁ>	<*ɗɛ̏ ɓȁ>	25/Jan/2011						
720	dhìa	=dhia			ia			LJ	mrph	мрф				25/Jul/2008	DUR	DUR	DUR			
721	dhìā	=dhia'			ia ~ ea		Time	LJ	adv	нар	<*tomorrow>			25/Jan/2011						
722	dhía	'dhia			ia			DJ, LJ	n	сущ	<*pile of merchandise-2>			25/Jan/2011						
723	dhíȁan	'niaa-			ḭa̰a̰		Fish	YA, SE	n	сущ				03/Dec/2008						
724	dhīadhīan	niania	[nia nia]		ḭa̰			LJ	n	сущ				22/Aug/2007						
725	dhȉan	-nia			ḭa̰		Human	BE, DJ, OD, SB, LJ	n	сущ	<*stranger-1>			23/Jan/2011						
726	dhìɒɒbhɛ̏n	=niaɔnmɛ	[=niaɔn -mɛ]		ḭɒ̰ɒ̰		Human	LJ	n	сущ				24/Feb/2010						
727	dhìʌ̄	=dhië'			iʌ	CVV-LNAF		BE, --LJ	v	гл	<*turn>			25/Jan/2011						
728	dhìʌ̄bhɛ̏n	=niëmɛ	[=nië' -mɛ]					LJ	n	сущ				30/Nov/2008						
729	dhìʌdhíʌn	=niënië	[=nië' =nië']			CVV-CVV		OD	v	гл				22/Jan/2011						
730	dhìʌn	=nië			ḭʌ̰		Living Part	GA, LJ, BE	n	сущ				26/Oct/2008						
731	dhìʌn	=nië'-			ḭʌ̰	CVV-LNAF		BE, LJ	v	гл				22/Jan/2011						
732	dhíʌŋ	'dhiëng			iʌŋ		Human Part	LJ	n	сущ				25/Jan/2011						
733	dhȉdháa	-dhidhaa	[-dhi 'dhaa]		aa		Magics	LJ, LP	n	сущ				25/Jan/2011						
734	dhȉdháakʌ̄bhɛ̏n	-dhidhaakëmɛ	[-dhi 'dhaa kë -mɛ]					LJ, LP	n	сущ				25/Jan/2011						
735	dhídhȁan	'dhinaa	['dhi -naa]				Static Communication Condition Modal Social	LJ, DJ, GJ	n	сущ				25/Jan/2011						
736	dhídhȁanzʌ̏	'dhinaazë	['dhi -naa -zë]					LJ	adj	прил				25/Jan/2011						
737	dhȉdháapʌ̏	-dhidhaapë	[-dhi 'dhaa -pë]					LJ, OD	n	сущ				25/Jan/2011						
738	dhīdhe	dhidhe	[dhi dhe]						n	сущ				25/Jan/2011						
739	dhȉi	-dhii			ii ~ uu?			BE, LJ	n	сущ	<*dirt>			09/Jan/2009						
740	dhìī	=dhii'			ii ~ ei									06/Dec/2008						
741	dhìībɔ̏{-dhȕ}n	=dhiibɔ {-nu}	[=dhii' -bɔ]											25/Jan/2011				мн. ч. от	plural of	pluriel de
742	dhȉin	-nii			ḭḭ			GJ	n	сущ										
743	dhìin	=nii			ḭḭ		Plant	LJ	n	сущ				30/Nov/2008						
744	dhīin	nii			ḭḭ		Static Mental	DJ, LJ	n	сущ	<*life (spirit)>			07/Dec/2008	soul	âme	душа			
745	dhȉin kláŋ	-nii 'klang						GJ	n	сущ										
746	dhȉizʌ̏	-dhiizë	[-dhuu -zë]				Property Condition Physical	BE, LJ	adj	прил				29/Jan/2009						
747	dhíkábhɛ̏n	'dhikanmɛ	['dhi 'kan -mɛ]					LJ	n	сущ				28/Nov/2008						
748	dhȉkúʌdhē	-dhikuëdhe	[-dhi 'kuë dhe]					LJ	n	сущ				28/Nov/2008						
749	dhīŋ	dhing							n	сущ				13/Feb/2010						
750	dhȉo	-dhio			io			BE, LJ, SB	n	сущ	<*advice>			25/Jan/2011						
751	dhìɔ̄	=dhiɔ'			iɔ			LJ	n	сущ				04/Oct/2008						
752	dhíɔ̂n	'niɔ-?			?ḭɔ̰ ~ ḭaɔ̰		Animal	BE, LJ	n	сущ				24/Feb/2010						
753	dhȉɤ	-dhiö			iɤ ~ iɤɤ			LJ	n	сущ				25/Jan/2011						
754	dhíɤ	'dhiö			iɤ				n	сущ				04/Oct/2008	edge	tranchant	остриё			
755	dhíɤ	'dhiö			iɤ			MG, LJ	pp	пл				04/Oct/2008						
756	dhíɤ	'dhiö			iɤ			BE, LJ, SB, GJ	adv	нар				25/Jan/2011	ahead	devant	вперёд			
757	dhíɤ̏	'dhiö-			iɤ				adj	прил				30/Jan/2011						
758	dhíɤ-bɔ̄	'dhiö bɔ		ɗíɤ́ + bɔ̄				BE, LJ, DJ, GJ	v	гл				25/Jan/2011						
759	dhíɤ̏dhɛ	'dhiödhɛ	['dhiö- -dhɛ]					LJ	n	сущ				30/Jan/2011						
760	dhíɤ-gán	'dhiö 'gan						BE, LJ	v	гл				22/Jan/2011						
761	dhȉɤɤ	-dhiöö			iɤɤ ~ iɤ									22/Aug/2007						
762	dhíɤ-sɯ́	'dhiö 'sü						LJ, DJ, GJ	v	гл										
763	dhíɤtó	'dhiöto	['dhiö 'to]	ɗíɤ́ + tó			Relation Existence Quantity		n	сущ	<edge-leave>	<край-оставлять>	<bord-laisser>	25/Jan/2011						
764	dhíɤ-tó	'dhiö 'to					BoundedEvent Modal Time	LJ, DJ, GJ	v	гл				22/Jan/2011						
765	dhíɤtódhɛ̏	'dhiötodhɛ	['dhiö 'to -dhɛ]					LJ, GJ, OD	n	сущ				25/Jan/2011						
766	dhȉɤyí	-dhiöyi	[-dhiö 'yi]				Natural Liquid Medicine	LJ	n	сущ				25/Jan/2011						
767	dhíɤzʌ̏	'dhiözë	['dhiö -zë]					MG, LJ	adj	прил				29/Jan/2009						
768	dhó	'dho				CV-H			v	гл	<*go (to)-3, leave-1>			25/Jan/2011	go	aller	идти			
769	dhóʌ̏	'dhoë-												30/Jan/2011						
770	dhódhón	'dhono	['dho 'no]		o-o, n		Bird	LP	n	сущ				25/Jan/2011						
771	dhȍdhɔ́ɔpíɤsɯ̏zʌ̏	-dhodhɔɔpiösüzë	[-dho 'dhɔɔ 'piö -sü -zë]					LJ	adj	прил				29/Jan/2009						
772	dhōɛ́nlɤ̏	noɛlö	[no 'ɛ -lö]		o̰ɛ̰			DJ, LJ	n	сущ				22/Aug/2007						
773	dhȍkúʌ̏sɯ̏	-dhokuësü	[-dho 'kuë- -sü]					OD, LJ	n	сущ				30/Jan/2011						
774	dhóŋbho	'dhongbho	['dhong 'dho]					LJ	n	сущ				25/Jan/2011						
775	dhȍŋdho	-dhongdho	[-dhong -dho]				Bird	LP	n	сущ				25/Jan/2011						
776	dhōŋzʌ̄bhɛ̏ɛn	dhongzëmɛɛ	[dhong zë -mɛɛ]				Insect	GA, MA	n	сущ				25/Jan/2011						
777	dhòŋ	=dhong'-				CV÷-LNAF	BoundedEvent Mental Purpose	BE, MG, LJ	v	гл	<*count-2>			22/Jan/2011						
778	dhòo	=dhoo			oo		KinTerm	MG, LJ, SB, CE	n	сущ	<*elder brother>			26/Apr/2000						
779	dhòō	=dhoo'			oo		Animal	MB, -LJ	n	сущ				07/Dec/2008						
780	dhóo	'dhoo			oo		Plant	LJ	n	сущ				25/Jan/2011						
781	dhóȍ	'dhoo-			oo		Human Group Magic	LJ	n	сущ				30/Jan/2011						
782	dhòobɔ̏{-dhȕ}n	=dhoobɔ {-nu}	[=dhoo -bɔ]											25/Jan/2011				мн. ч. от	plural of	pluriel de
783	dhōo-dhȕn	dhoonu	[dhoo -nu]		oo			MG, LJ						25/Jan/2011				мн. ч. от	plural of	pluriel de
784	dhɔ̏	-dhɔ							n	сущ	<*desire-2>			26/Jan/2011						
785	dhɔ́	'dhɔ				CV-H			v	гл	<*buy-2>			26/Jan/2011						
786	dhɔ̏dhɔ̏n	-nɔnɔ	[-nɔ -nɔ]		ɔ-ɔ, n			LJ	n	сущ				03/Dec/2008						
787	dhɔ́dhɔ́n	'nɔnɔ	['nɔ 'nɔ]		ɔ-ɔ, n		Natural Liquid Comestible Cookery	DJ, LJ	n	сущ	<*milk>			22/Aug/2007						
788	dhɔ̏kàā	-dhɔkaa	[-dhɔ kë dhe]					LJ	n	сущ				26/Jan/2011						
789	dhɔ̀n	=nɔ					Human Relation KinTerm	SB, CE	n	сущ				09/Jan/2009						
790	dhɔ̄n	nɔ						LJ	n	сущ				14/Dec/1999						
791	dhɔ̀ŋ	=dhɔng				CV÷-LL		BE, EF, MB, LJ, DJ, GJ, SB	v	гл				30/Jan/2011						
792	dhɔ̀ŋ̄	=dhɔng'					Natural	LJ	n	сущ				26/Jan/2011						
793	dhɔ̀ŋtrɔ̄ɔ̏	=dhɔngtrɔɔ	[=dhɔng trɔɔ-]		ɔɔ		Human	LJ, MB	n	сущ				26/Jan/2011						
794	dhɔ̀ŋtrɔ̄ɔ̏plɤ̀ɤ	=dhɔngtrɔɔplöö	[=dhɔng trɔɔ- =plöö]					LJ, MB	n	сущ				30/Jan/2011						
795	dhɔ̀ɔ	=dhɔɔ			ɔɔ			LJ, OD	n	сущ				26/Jan/2011						rn pour le complément d’agent; fn pour l'agent
796	dhɔ̀ɔ̄	=dhɔɔ'			ɔɔ ~ ɔɯ			LJ	n	сущ				26/Jan/2011						
797	dhɔ́ɔ	'dhɔɔ			ɔɔ		BoundedEvent Location Social	LJ	n	сущ	<*market-1>			26/Jan/2011						
798	dhɔ́ɔ	'dhɔɔ			ɔɔ		Fish	YA, SE, SB	n	сущ				28/Nov/2008						
799	dhɔ̀ɔ̄bhàa	=dhɔɔbhaa	[=dhɔɔ' =bhaa]					LJ	n	сущ				30/Jan/2011						
800	dhɔ̀ɔ̄bhàadhʌ̏n	=dhɔɔbhaanë	[=dhɔɔ' =bhaa -në]				Human	LJ	n	сущ				22/Aug/2007						
801	dhɔ́ɔdɔ̄bhȁn	'dhɔɔdɔma	['dhɔɔ dɔ -ma]				Bird	LP	n	сущ				26/Jan/2011						
802	dhɔ̀ɔdhɔ́	=dhɔɔdhɔ	[=dhɔɔ 'dhɔ]					DJ, LJ	v	гл				22/Jan/2011						
803	dhɔ̀ɔdhɔ́n	=nɔɔnɔ	[=nɔɔ 'nɔ]		ɔ̰ɔ̰	CVV-CV		BE, LJ	v	гл				22/Jan/2011						
804	dhɔ́ɔgɔ̏	'dhɔɔgɔ	['dhɔɔ -gɔ]				Static Time	LJ, SB	n	сущ	<"tête de marché">	голова рынка		04/Oct/2008						
805	dhɔ́ɔkóʌ̏dhɤ̄	'dhɔɔkoëdhö	['dhɔɔ 'kuë- dhö]		oʌ ~ uʌ ~ uʌʌ		BoundedEvent Location Social	LJ	loc.n	сущ.лок				30/Jan/2011						
806	dhɔ̏ɔn	-nɔɔ			ɔ̰ɔ̰ ~ ɒ̰ɒ̰									28/Jul/2008						
807	dhɔ̀ū	=dhɔu'			ɔu ~ ɔɔ									15/Feb/2010						
808	-dhɤ̄	dhö						LJ	mrph	мрф				11/Jul/2008	ADV	ADV	ADV			
809	-dhɤ̄	dhö							mrph	мрф				11/Jul/2008	LOC	LOC	LOC			
810	dhɤ́	'dhö			ɤ			LJ	v	гл				30/Jan/2011	be	être	быть			
811	dhɤ́	'dhö						LJ, GJ	v	гл			<aller>	25/Jan/2011	FUT	FUT	FUT			
812	dhɤ́	'dhö						BE, SB, LJ, DJ	adv	нар				04/Oct/2008						
813	dhɤ́	'dhö						LJ	pp	пл				04/Oct/2008						
814	dhɤ́ʌ̏	'dhöë-			oʌ ~ ɤʌ			LJ	v	гл	<ɗó nȁ>			30/Jan/2011	PROX	PROX	PROX	вспомога\тельный глаго\л, передаёт значе\ние проксимати\ва: "вот-во\т"	auxiliary verb: in factative + infinitive of the main verb, expresses proximate future meaning	verbe auxiliaire: en factatif + l'infinitif du verbe principal exprime le futur proximal: « être sur le point de », « faillir faire qch », « presque »
815	dhɤ́n	'nö						LJ	adv					30/Nov/2008						
816	dhɤ̏ɤ	-dhöö			ɤɤ			LJ	n	сущ				15/Feb/2010						
817	dhɤ́ɤdhɤ̏	'dhöödhö	['dhöü- -dhöü] {pl. 'dhöü- dhöü, 'dhöü 'dhöü}		ɤɯ			BE, LJ (dh, ka)	adj	прил	<*round-1>			30/Jan/2011						
818	dhɤ́ɤdhɤɤ	'dhöödhöö	['dhöö 'dhöö]											26/Jan/2011				мн. ч. от	plural of	pluriel de
819	dhú	'dhu					KinTerm	LJ	n	сущ	<*daughter>			06/Jan/2009						
820	dhú	'dhu				CV-H	BoundedEvent Agentive Location Physical Purpose	LJ, MG	v	гл				14/Dec/1999						
821	dhȕaadhȕaadhɤ̄n	-nuaanuaadhö	[-nuaa -nuaa dhö]					LJ	adv	нар				26/Oct/2008						
822	dhȕaadhȕaan	-nuaanuaa	[-nuaa -nuaa]					LJ	n	сущ	<?>			30/Nov/2008						
823	dhȕaadhȕaan	-nuaanuaa	[-nuaa -nuaa]					LJ	adj ADV					30/Jan/2009	slow	lent	медлительный			
824	dhȕaan	-nuaa			ṵa̰a̰			LJ	adv?adj	нар				25/Feb/2010						
825	dhúadhȕadhɛn	'nuanuadhɛ	['nua -nua -dhɛ]		ṵa̰			GJ	n	сущ				24/Feb/2010						
826	dhùan	=nua			ṵa̰		Human Occupation Social	LJ	n	сущ	<*slave>			30/Nov/2008						
827	dhūænzʌ̏	nuɛazë	[nuɛ -zë]????		ṵɛ̰a̰		Static Property Physical	DJ, LJ	adj	прил				25/Feb/2010						
828	dhúʌ̏	'dhuë-			uʌ		Situation Type Experience Religion		n	сущ				30/Jan/2011						
829	dhūʌn	nuë-			ṵʌ̰									26/Oct/2008						
830	dhúʌ̂nbɔ̏	'nuëbɔ	['nuë- -bɔ]		ṵʌ̰		Human	DJ, MG, LJ	n	сущ				23/Jan/2011						
831	dhùen	=nue												24/Oct/2008						
832	dhūɛn	'nuɛa			ṵɛ̰		Animal	YA, SE	n	сущ				25/Feb/2010						
833	dhȕn	-nu			u			LJ, DJ, BE, GJ, MG	mrph	мрф	<*plural marker-3>			07/Jul/2008	PL	PL	PL	пока\затель мно\жественного числа\	plural marker	marque du pluriel
834	dhūn	nu				CV-M		BE, MG, LJ, DJ, RC	v	гл	<*come-3>			22/Jan/2011	come	venir	приходить			
835	dhūn	nu				CV-M	BoundedEvent Agentive Possession Purpose	BE, MG, LJ, DJ, RC	v	гл	<*give (to)-4>			22/Jan/2011	give	donner	давать			
836	dhȕɤ	-dhuö			uɤ	CVV-AF		LJ	v	гл				30/Jan/2011						
837	dhūɤ	dhuö			uɤ		Plant	LJ	n	сущ				26/Jan/2011						
838	dhūɤ	dhuö			uɤ			LJ	adv	нар				30/Jan/2011						
839	dhūɤdhe	dhuödhe	[dhuö dhe]		uɤ		Reptile	YA, SE	n	сущ				22/Aug/2007						
840	dhūɤdhe tɤ́ŋ	dhuödhe 'töng	[dhuö dhe]					LJ	n	сущ				22/Aug/2007						
841	dhȕtīi	-dhutii	[-dhuu tii]		ii		Human Occupation Social Condition	LJ, BE, RC	n	сущ	<jula>			26/Jan/2011						
842	dhȕu	-dhuu			uu ~ ii?									22/Aug/2007						
843	dhùu	=dhuu			uu				n	сущ				26/Jan/2011						
844	dhùu	=dhuu'-			uu			LJ	v	гл				22/Jan/2011						
845	dhúu	'dhuu			uu		Natural	LJ	n	сущ	<*fog-2>			27/Apr/2000						
846	dhúu púu	'dhuu 'puu			uu		Plant	LJ	n	сущ										
847	dhúun	'nuu			ṵṵ		Artifact Object	LJ, GJ, SB	n	сущ				26/Oct/2008						
848	dhúun	'nuu			ʌʌ		Human	LP, LJ	n	сущ				30/Nov/2008						
849	dhúuŋ	'dhuung			uuŋ		Artifact Instrument Music	DJ, LJ	n	сущ				28/Nov/2008						
850	dhúuŋgā	'dhuungga	['dhuung ga]				Artifact Instrument Music		n	сущ				26/Jan/2011						
851	dhȕutīi	-dhuutii	[-dhuu tii]											22/Aug/2007						
852	dhȕuzʌ̏	-dhuuzë												22/Aug/2007						
853	dh̄n	n						LJ	pron	л.мест				14/Dec/2008	1SG.NSBJ	1SG.NSBJ	1SG.NSBJ			
854	dh̀n dh́n	=n 'n						SB	itj	межд				22/Aug/2007	no	non	нет			
855	dh̄nká	nka	[n 'ka]					LJ	pron	л.мест				30/Nov/2008	1SG.NEG.PFV	1SG.NEG.PFV	1SG.NEG.PFV			
856	Ɗóȍdhɛ	'Dhoodhɛ	['Dhoo- dhɛ]		oo			SB, LJ	loc.n	сущ				09/Jun/2010						
857	è	=e						RC	prt	част				26/Jan/2011	Q	Q	Q	тон части\цы зави\сит от то\на предше\ствующей гла\сной: ни\зкий тон по\сле ни\зкого и сре\днего; па\дающий по\сле па\дающего и среднепа\дающего; сре\дний по\сле высо\кого	interrogative particle of a general question	particule interrogative générale; le ton de la particule est en fonction du ton de la voyelle précédente: il est bas après les voyelles à tons bas et moyen; descendant après les tons descendant et moyen-descendant; moyen après un ton haut
858	ɛ̀	=ɛ						RC						26/Jan/2011	Q	Q	Q	вопроси\тельная части\ца в конце\ фра\зы	interrogative particle of a general question	particule interrogative générale
859	ɛ̀	=ɛ						SB	itj	межд				04/Oct/2008						
860	fá	'fa						LJ, SB, CE	n	сущ				28/Nov/2008						
861	fȁa	-faa			aa		Human Part	GA, MA, LJ	n	сущ										
862	fāȁ	faa-			aa		Bird	MB, LJ, OD, SB	n	сущ				30/Jan/2011						
863	fáa	'faa			aa		Artifact Object	LJ	n	сущ										
864	fáafȁ	'faafa	['faa -fa]		aa			OD, SB	adj	прил				29/Jan/2009						
865	fàān	=faan'			a̰a̰			OD, --LJ	n	сущ	<*force-1>			26/Jan/2011						
866	fáfȁ	'fafa	['fa -fa]						adj	прил				29/Jan/2009						
867	fʌ̀ɯ̄fʌ̀ɯ̄dhɤ	=fëüfëüdhö	[=fëü' =fëü' dhö]		ʌɯ			LJ	adv	нар				05/Oct/2008						
868	fɛ́ɛ	'fɛɛ			ɛɛ			LJ, RC	n	сущ				26/Jan/2011						
869	fɛ́ɛbhɛ̏n	'fɛɛmɛ	['fɛɛ -mɛ]					LJ	n	сущ				26/Jan/2011						
870	fɛ̀ɛn	=fɛɛn'-			ɛ̰ɛ̰	CVV-LNAF		MG, LJ	v	гл										
871	fɛ́ɛzʌ̏	'fɛɛzë	['fɛɛ -zë]					DJ, LJ	adj	прил				29/Jan/2009						
872	fɛ́fɛ́dhɤ̄	'fɛfɛdhö	['fɛ 'fɛ dhö]					GJ	adv	нар				05/Oct/2008						
873	fɛ̄i	fɛi			ɛi		Human Part?	MG, BE, LJ, DJ	n	сущ				27/Apr/2000						
874	fía	'fia			ia				n	сущ				26/Jan/2011						
875	fíabhɛ̏n	'fiamɛ	['fia -mɛ]						n	сущ				26/Jan/2011						
876	fíasɯ̏	'fiasü	['fia -sü]					DJ, GJ, CE, SB, LJ	adj	прил				29/Jan/2009	lazy	paresseux	ленивый			
877	fìʌ̄	=fië'			iʌ			SB, LJ	n	сущ				28/Nov/2008						
878	fȉʌfȉʌdhɤ̄	-fiëfiëdhö	[-fië -fië dhö]		iʌ			LJ	adv	нар				05/Oct/2008						
879	fìi	=fii			ii		Substance Solid	LJ	n	сущ				02/Dec/2008						
880	fȉn	-fin				CV-AF	State Condition Manner Physical Medicine	LJ	v	гл				26/Jan/2011						
881	fíŋ	'fing												22/Aug/2007						
882	fíŋ	'finng					Animal	LJ	n	сущ				26/Jan/2011						
883	flá	'fla				CLV	Human	LJ	n	сущ				24/Sep/2008	Fulbe	Peul	фульбе			
884	flæ̏æn	-flɛan			ɛ̰a̰ ~ ɛ̰ɛ̰	CLVÃVÃ	Human	BE, DJ, LJ	n	сущ				29/Nov/2008	twin	jumeau	близнец	мо\жет испо\льзоваться в фо\рме ед.ч. в значе\нии мно\жественного		
885	flʌ́ʌ	'flëë			ʌʌ	CLVV		LJ, BE, GJ	adj	прил	<*empty-2>			29/Jan/2009						
886	flʌ́ʌ̏	'flëë-			ʌʌ	CLVV		LJ	n	сущ	<Fr>			30/Jan/2011						
887	flʌ́ʌflʌ́ʌ	'flëëflëë	['flëë 'flëë]			CLVV CLVV		LJ, BE, GJ						26/Jan/2011				мн. ч. от	plural of	pluriel de
888	fléȅ	'flee-			ee	CLVV		RC	n					30/Jan/2011						
889	flèŋ	=fleng				CLVN	Plant	LJ	n	сущ				06/Mar/2010						
890	flèŋdhʌ́	=flengnë	[=fleng 'në]			CLV÷	Human Part	GA, KD, LJ	n	сущ				18/Nov/2008						
891	flɛ̏ɛn	-flɛɛn			ɛ̰ɛ̰ ~ ɛ̰a̰	CLVÃVÃ								22/Aug/2007						
892	flɛ́ŋ	'flɛnng				CLVÃ÷								22/Aug/2007						
893	flíȉ	'flii-			ii	CLVV		MB, LJ	v	?				30/Jan/2011						
894	flíŋ	'flinng				CLVÃ÷ ~ CLVÃ ~ CLV÷	Natural	LJ (wao)	n	сущ	<*dew>			06/Mar/2010						
895	flɔ́	'flɔ				CLV		SB	n	сущ				26/Jan/2011						
896	flɤ́	'flö				CLV-H			v	гл				26/Jan/2011						
897	flū	flu				CLV-M	BoundedEvent Agentive Location Physical Purpose	LJ	v	гл	<*throw-1 (to)>			22/Jan/2011						
898	flùflú	=fluflu	[=flu 'flu, =flu 'flu-]			CLV CLV	Cookery Comestible	SB	n	сущ				26/Jan/2011						
899	flùu	=fluu			uu	CLVV-LL		SB	v	гл				22/Jan/2011						
900	flɯ́	'flü				CLV	Living Part	GA, MA	n	сущ										
901	fɔ̏dhɤ̄	-fɔdhö	[-fɔ dhö]					SB, LJ	adv	нар				05/Oct/2008						
902	fɔ̄ŋ	fɔng						LJ	n	сущ	<*aluminium>									
903	fɤ̏	-fö						LJ	n	сущ				09/Jan/2009						
904	fɤ̄dhɛ̏	födhɛ	[föö -dhɛ]				Artifact Object	LJ	n	сущ				26/Jan/2011						
905	fɤ́ŋfɤ̏	'föngfö	['föng -fö]		ɤɤ ~ ɤŋ		Physical Quantity	BE, GJ, LJ	adj	прил	<*light (not heavy)>			29/Jan/2009						
906	fɤ́ɤ̏	'föö-			ɤɤ		Animal		n	сущ				30/Jan/2011						
907	fɤ̄ɤdhɛ̏	föödhɛ	[föö -dhɛ]		ɤɤ									05/Oct/2008						
908	fɤ́ɤfɤ̏	'fööfö												22/Aug/2007						
909	fɤ̄ɯ	föü			ɤɯ		Natural	MB, LJ	n	сущ				29/Nov/2008						
910	fɤ̄yí	föyi	[fö 'yi]				Living	LJ	n	сущ	<*sweat>			29/Nov/2008						
911	fùʌ	=fuë			uʌ	CVV-LL		LJ	v	гл				22/Jan/2011						
912	fùu	=fuu'-			uu		Artifact Object	MB, BE, LJ, SB	n	сущ				29/Nov/2008						
913	gȁ	-ga				CV-AF		MG, LJ, GJ, SB	v	гл	<*look-2 (to)>			27/Jan/2011						
914	gā	ga					Natural	MG, LJ, DJ, GJ	n	сущ	<*bone-2>			06/Dec/2008	bone	os	кость	если не уточняется, чья кость (человека, животного, плода), или зёрнышко, следует говорить pʌ̄ ~ (pʌ̄ - вещь), gā без определяемого переводится всегда как "смерть" (омоним)		
915	gā	ga				CV-M		MG, LJ, GJ	v	гл	<*die-1>			30/Jan/2011	die	mourir	умирать			
916	gā	ga				CV-M		MG, LJ, GJ	n	сущ				27/Jan/2011	death	mort	смерть			
917	gàan	=gaan			a̰a̰			SB	n	сущ				23/Jan/2011						
918	gàān	=gaan'			a̰a̰	CVV-LNAF		GJ, LJ	v	гл				22/Jan/2011						
919	gāgā	gaga	[ga ga]				Human Part	DJ, LJ	n	сущ				05/Oct/2008						
920	gȁn	-gan					Bird	MB, LJ, SB	n	сущ	<*Guinea fowl>									
921	gán	'gan				CV-H		MG, LJ, DJ	v	гл	<*pull (to)-2>			22/Jan/2011	pull	tirer	тянуть			
922	gán	'gan						LJ	n	сущ				30/Jan/2011						
923	gāzʌ̏	gazë	[ga -zë]					GJ, LJ	adj	прил				29/Jan/2009						
924	gɒ̏ɒ	-gaɔ			ɒɒ		Animal	YA, SE	n	сущ				27/Jan/2011						
925	gʌ̄ʌpȉʌklú	gëëpiëklu	[gëë -pië 'klu]		iʌ		Animal	DJ, GJ, LJ	n	сущ				09/Jan/2009						
926	gʌ̄n	gën						DJ, LJ	n	сущ				29/Nov/2008						
927	gʌ̂n	'gën-					BoundedEvent Communication Condition Experience Modal Purpose Social	SB, LJ	n	сущ				27/Jan/2011						
928	gʌ̄ɯ	gëü			ʌɯ		Animal	YA, SE, GJ, GA, MA	n	сущ				27/Jan/2011						
929	gʌ̄ɯbhɛ̏n	gëümɛ	[gëü -mɛ]		ʌɯ			LJ	n	сущ				29/Nov/2008						
930	gɛ	gɛ-						MB, LJ	n	сущ										
931	gɛ̏an	-gɛan			ɛ̰a̰ ~ ḭa̰			LJ						27/Jan/2011						
932	gɛ̀an	=gɛan			ḛa̰ ~ ɛ̰a̰		Human Relation	LJ - dh	n	сущ	<*widow>			18/Feb/2010						
933	gɛ̏dhʌ́ngā	-gɛnnëga	[-gɛn 'në ga]				Human Part	GA, MA	n	сущ				27/Jan/2011						
