id	\le	\leor	\ph	\u	\voc	\voir	\key	\src	\ps	\psr	\pf	\pfr	\pff	\dt	\ge	\gf	\gr	\egr	\ege	\egf
1566	kpȍlɯ́	-kpolü	[-kpo 'lü]				Artifact Object	DJ, LJ	n	сущ				09/Jan/2009						
1567	kpȍŋ	-kpong					Human Part	GA, MA	n	сущ				23/Jan/2011						
1568	kpōŋ	kpong					Human Part	MG, DJ, LJ	n	сущ				09/Jan/2009						
1569	kpōŋ	kpong					Artifact Object Building	BE, MG, DJ, LJ	n	сущ				11/Jul/2008						
1570	kpóŋ	'kpong					Object Natural Part Place	MG, LJ, DJ, SB	n	сущ	<*bord (of river)>									
1571	kpòŋdhēe	=kpongdhee	[=kpong dhee]					LJ	n	сущ				17/Oct/2008						
1572	kpòŋdhēe	=kpongdhee	[=kpong dhee]		ee			LJ	n	сущ				17/Oct/2008						
1573	kpóŋtàa	'kpongtaa	['kpong =taa]				Natural Object Place	RC, LJ	n	сущ				22/Aug/2007						
1574	kpóŋtàadhɛ̏	'kpongtaadhɛ	['kpong =taa -dhɛ]				Natural Object Place	LJ	loc.n	сущ.лок				17/Oct/2008						
1575	kpòō	=kpoo'			oo	CVV-LNAF		LJ	v	гл				22/Jan/2011						
1576	kpōo	kpoo			oo			LJ	n	сущ				30/Aug/2000						
1577	kpòōdhɛ̏	=kpoodhɛ	[=kpoo' -dhɛ]		oo		Human Part	GA, MA, LJ	n	сущ				09/Jan/2009						
1578	kpɔ́	'kpɔ				CV-H			v	гл				22/Jan/2011						
1579	kpɔ̄a	kpɔa	['kpɔ -a 'ka]		ɔa	CV-AF???		MB, LJ	v	гл				17/Jun/2010						
1580	kpɔ́bhɛ̏n	'kpɔmɛ	['kpɔ -mɛ]					DJ, LJ	n	сущ				07/Dec/2008				ча\ще употребля\ется в фо\рме мн.числа\		utilisé surtout dans la forme plurielle
1581	kpɔ̄n	kpɔn					Human Part	GA, MA, GD, SB	n	сущ				03/Dec/2008				употребляется в форме ед.ч. в значении двойственного ч.		
1582	kpɔ̄ngɔ̏	kpɔngɔ	[kpɔn -gɔ]				Human Part	BE, --LJ	n	сущ	<*knee-2>			22/Aug/2007						
1583	kpɔ̄ŋ	kpɔng					Animal	YA, SE	n	сущ				29/Nov/2008						
1584	kpɔ̏ɔ	-kpɔɔ			ɔɔ		Natural	LJ	n	сущ				07/Dec/2008						
1585	kpɔ̀ɔ̏	=kpɔɔ-			ɔɔ			BE, LJ	n	сущ				29/Nov/2008						
1586	kpɔ̏ɔ kpɤ̄	-kpɔɔ kpö					Natural	LJ	n	сущ				04/Sep/2000						
1587	kpɔ̀ɔ yīʌ	=kpɔɔ yië					Stative Time	LJ	n	сущ				17/Oct/2008						
1588	kpɔ̏ɔn	-kpɔɔn			ɔ̰ɔ̰				adj	прил				09/Jan/2009						
1589	kpɤ̄	kpö							n	сущ				23/Jan/2011	ball	boule	шар			
1590	kpɤ̄nglɤ̄ɤ	kpönglöö	[kpön glöö]		ɤɤ			LJ	loc.n	сущ.лок				29/Nov/2008						
1591	kpɤ̄ɤ	kpöö			ɤɤ		Human Part	GA, GD, LJ	n	сущ										
1592	kpɤ́ɤ	'kpöö			ɤɤ? ~ ɤɯ									22/Aug/2007						
1593	kpɤ́ɤ̂kpȁŋgȍ	'kpöökpanggo	['kpöö- -kpang -go]		ɤɤ		Insect	KD, LJ	n	сущ				23/Oct/2008						
1594	kpɤ́ɯ	'kpöü			ɤɯ ~ ɤɤ (dh)			LJ(dh)	n	сущ				23/Jan/2011						
1595	kpū	kpu							n	сущ	<*hump-2>			21/Jun/2010						
1596	kpȕa	-kpua			ua		Natural Object Comestible	MB, SB, LJ	n	сущ				11/Jul/2008						
1597	kpȕa	-kpua			ua			LJ	n	сущ				23/Oct/2008						
1598	kpūan	kpuan			ṵa̰			LJ	n	сущ				26/Nov/2008						
1599	kpúʌ	'kpuë			uʌ		Artifact Object Instrument	LP	n	сущ				04/Sep/2000						
1600	kpúdhɤ̄	'kpudhö	['kpu dhö]					LJ	adv	нар				23/Oct/2008						
1601	kpúkpúdhɤ̄	'kpukpudhö	['kpu 'kpu dhö]					LJ	adv	нар				23/Oct/2008						
1602	kpūŋ	kpung					Living Part		n	сущ				26/Nov/2008						
1603	kpɯ́dhɤ̄	'kpüdhö	['kpü dhö]					LJ	adv	нар				03/Dec/2008						
1604	kwȁ	-kwa						EF, LJ	pron	л.мест				29/Nov/2008	1PL.INCL.IMP	1PL.INCL.IMP	1PL.INCL.IMP			
1605	kwā	kwa						LJ, EF, GJ	pron	л.мест				29/Nov/2008	1PL.INCL.EXI	1PL.INCL.EXI	1PL.INCL.EXI			
1606	kwā	kwa						LJ	pron	л.мест				29/Nov/2008	1PL.INCL.AUT	1PL.INCL.AUT	1PL.INCL.AUT			
1607	kwā	kwa						LJ	pron	л.мест				14/Dec/2008	1PL.INCL.NSBJ	1PL.INCL.NSBJ	1PL.INCL.NSBJ			
1608	kwá	'kwa						LJ, EF	pron	л.мест				29/Nov/2008	1PL.INCL.PRF	1PL.INCL.PRF	1PL.INCL.PRF			
1609	kwá	'kwa						LJ, EF	pron	л.мест				07/Dec/2008	1PL.INCL.JNT	1PL.INCL.JNT	1PL.INCL.JNT			
1610	kwá	'kwa			a			LJ	pron	л.мест				29/Nov/2008	1PL.INCL.OPT	1PL.INCL.OPT	1PL.INCL.OPT			
1611	kwâ	'kwa-		kwá + ȁ	a			LJ	pron	л.мест	<*kwá ȁ>	<*kwá ȁ>	<*kwá ȁ>	14/Dec/2008						
