id_ms	type	trans	ortho	\trr	\smr	\tre	\sme	\trf	\smf	\src
81_2	\ex	glȕkʌ̄bhɛ̏n dhȕn wà wūʌ̂ ~ sɯ́ tɤ́ɯ̈dhɤ̄	-glu kë -mɛ -nu =wa wuë- -blaan 'sü 'töüdhö							
82_2	\ex	yí yà kún ~!	'yi =ya 'kun 'blabladhö!							
83_0	\ex	lùû ~!	=luu'- 'bladhö!							
84_0	\ex	dhʌ́n sɛ́ɛ̈n dhȕn wà blákpɔ́ wō kó bhȁ	'në 'sɛɛn- -nu =wa 'blakpɔ wo 'ko -bha							
84_0	\cbn	yɔ́ɔ ~	'yɔɔ 'blakpɔ							
84_0	\ex	yà yɔ́ɔ ~ ɤ̄ dȅ bhȁ	=ya 'yɔɔ 'blakpɔ ö -de -bha							
85_0	\ex	n̄ zláä yà bhȁn sɔ̄ blʌ́	n 'zlaa- =ya -ma sɔ 'blë							
88_0	\ex	bhān sɔ̄ bhʌ̄ tàān gā dhɛ̀n ɤ̈ blʌ̀ʌ bhʌ̄	ma sɔ bhë =taan' ga =nɛ 'ö- =blëë bhë							
88_0	\idi	sɔ̄ ~sɯ̏	sɔ =blëësü							
89_2	\idi	~ yí bhō	=blëëdhɛ 'yi bho							
89_2	\idi	~ kʌ̄	=blëëdhɛ kë							
93_0	\ex	dhɛ̏yȁbhɛ̏n dhȕn wà lȍ bhlɤ̂dhɛ̏ bléedhɤ̄	-dhɛyamɛ -nu =wa -lo bhlödhɛ 'bleedhö							
95_0	\ex	wà bhɔ́bhnlí síɤ dɔ̄ ~	=wa 'mɔbhli 'siö dɔ blengdhö							
96_1.1	\ex	wún á dhóä blɛ̀ɛ̂ kā dhʌ̏ bhʌ̄ yɤ̏ dhɤ̏ kā té tūn	'wun 'a 'dhoa- =blɛɛ'- ka -dhë bhë -yö -dhö ka 'te tun							
96_1.1	\idi	~ sǣæ̂	=blɛɛ'- sɛa-							
96_1.4	\cbn	wún ~	'wun =blɛɛ'-							
96_1.4	\ex	dhɛ̏ á wún blɛ̀ɛ ȁ ká pēe dhɛ̀n, yɤ̏ kʌ̄ dhȁn kpáakpȁ	-dhɛ 'a 'wun =blɛɛ -a 'ka pee =nɛ, -yö kë -na 'kpaakpa							
96_1.4	\ex	yɤ̏ wún blɛ̏ɛ n̄ ká gbɒ̀ɒnsɯ̏	-yö 'wun -blɛɛ n 'ka =gbaɔnsü							
96_2	\cbn	Zlȁn wȍ blɛ̀ɛ̄	-Zlan -wo =blɛɛ'							
96_2	\ex	yɤ̏ Zlān wȍ blɛ̀ɛ̄ dhȁn	-yö Zlan -wo =blɛɛ' -na							
98_1	\ex	~ dhɛ̏ wö yɤ̄ ȁ bhȁ bhʌ̄ yɤ̏ dhɤ̏ ȁ bhȁ yúa bō	=blɛɛdhɛ -dhɛ 'wo- yö -a -bha bhë -yö -dhö -a -bha 'yua bo							
99_0	\ex	yɤ̄ dhɛ̀n ɤ́ tɔ̄ɔ bhɛ̄n ~ ɤ́ gɔ̏ klàŋ̄ kɔ́ɔdhɤ̄	yö =nɛ 'ö tɔɔ mɛ -blɛɛzë 'ö -gɔ =klang' 'kɔɔdhö							
99_0	\idi	n̄ dhòo dhʌ́n ~ bhɯ̏n	n =dhoo 'në -blɛɛzë -mü							
101_0	\idi	~ tīi	blii tii							
101_0	\ex	~ zīi	blii zii							
103_0	\ex	dhā yà dhūn ~	dha =ya nu =blingblingdhö							
104_0	\ex	Gwɛ̄ yɤ̏ gȍ ~	Gwɛ -yö -go =Blongdhö							
110_0	\ex	n̄ dʌ̄ yà ~ yɤ̄ ɤ̄ bhȁ bū gɯ́	n dë =ya blɔɔn- yö ö -bha bu 'gü							
111_2	\idi	yà dùʌ ~ gɯ́	=ya =duë 'blɔɔn- 'gü							
114_0	\ex	gbɛ̂n dhȕn wà dȁ ~, kȁ kā bhȁ dɯ́ dhȕn sɯ́, ká dɔ̄ slʌ́ ká	gbɛn- -nu =wa -da blöö, -ka ka -bha 'dü -nu 'sü, 'ka dɔ 'slë 'ka							
115_0	\ex	dhʌ́n tée dhɛ̀n ȁ ~ tȍ plāan	'në 'tee =nɛ -a -blu -to plaan							
117_0	\ex	bhɤ̏ dhó ɯ́ bhȁn ~ plɛ̀ dhɔ́!	-bhö 'dho 'ü -ma 'bluu- =plɛ 'dhɔ!							
118_0	\ex	~ kʌ̄ pʌ̏ tɔ̄ɔ ~ bȉ	'bluu- kë -pë tɔɔ 'bluubi							
119_0	\ex	wȍ dhȕn ~	-wo -nu -bluudhö							
120_1	\ex	kȁ lɯ́kpʌ̀ɯ bhʌ̄ kȁa ~ ká ȁ bhō zīangblȍo tȁ, kɤ̄ kwá zīɤ dhɛ̏ yɤ̄	-ka 'lü =kpëü bhë -kaa -blü 'ka -a bho ziangbloo -ta, kö 'kwa ziö -dhɛ yö							
120_1	\ex	gɔ̄ɔ̂n bhʌ̄ yà n̄ ~	gɔɔn- bhë =ya n -blü							
120_1	\idi	~ dhíɤ	-blü 'dhiö							
120_1	\ex	wà yūɤkʌ̄bhɛ̏n dhȕn sàān ~ dhíɤ	=wa yuökëmɛ -nu =saan' -blü 'dhiö							
120_2	\ex	Zlȁngɔ̏ yɤ̏ ɤ̄ gbɤ̄ dàān dhȁn pïɤsòo blɯ̏ sɯ̏ ká	-Zlangɔ -yö ö gbö =daan' -na -piö =soo -blü -sü 'ka							
120_3	\ex	bhɤ̏ fìi ɤ́ dhɛ̀n ȁ blɯ̏	-bhö =fii 'ö =nɛ -a -blü							
120_4	\ex	bhɤ̏ ɯ̄ bhlé blɯ̏ bhán	-bhö ü 'bhle -blü 'ma							
121_2	\ex	gɔ̄ɔ̂n dhȕn wà dhó ~ píɤ	gɔɔn- -nu =wa 'dho 'blü 'piö							
121_2	\idi	~ kʌ̄	'blü kë							
121_2	\idi	yí ~ kʌ̄	'yi -blü kë							
121_2	\idi	~ blɯ́ kʌ̄ gbɛ̂n	'blü kë gbɛn-							
121_3	\ex	~ wɯ̏	'blü -wü							
124_0	\ex	bhá dhīʌ̂n ɯ̄ zɯ̏ ~ sìa, ɯ̄ yʌ́ŋ dhɤ̏ dhìʌ̄n	'bha nië- ü -zü 'blüblüdhö =sia, ü 'yënng -dhö =nië'							
135_1	\cbn	gɔ̄bhìʌ̄n ~	gɔ =mië' -blüpë							
136_0	\ex	zàŋ dhȕn wà bhān kwɛ̀ɛ̏ blɯ̀ɯ̂, wá bhān kínzuu kún n̄ gɔ̏	=zang -nu =wa ma =kwɛɛ- =blüü'-, 'wa ma 'kinzuu 'kun n -gɔ							
137_2	\ex	~ wɯ̏	'blüü -wü							
139_0	\ex	~ yȁ kʌ̏ bȅ	'blüün =yua' -ya -kë -be							
140_1	\idi	blɯ́ŋ sían	'blüng 'sian							
142_0	\ex	yà bȍ ɤ̄ bhȁ yūɤ gɯ́	=ya -bo ö -bha yuö 'gü							
143_1	\ex	kȁ kā bō zȕɤ dɔ̄ sɯ̏ ká	-ka ka bo -zuö dɔ -sü 'ka							
143_1	\ex	yí bhɯ̄n dhɔ̏ yà bō n̄ gɔ̏	'yi mü -dhɔ =ya bo n -gɔ							
143_1	\ex	ɯ̄ dhɔ̏ yà bō n̄ gɔ̏	ü -dhɔ =ya bo n -gɔ							
143_2	\cbn	{dhɛ̏, yúa} ~	{-dhɛ, 'yua} bo							
143_2	\ex	yúa gbéë yȁ kʌ̏ kɛ́ɛ {ȁ dhɛ̏} yà bō	'yua 'gbee- -ya -kë 'kɛɛ {-a -dhɛ} =ya bo							
146_1.1	\ex	yī bɔ̏ ȁ gɔ̏ kɔ́ dhíɤ kplȁwō, yí dhō bhlɤ̀ɤ	yi -bɔ -a -gɔ 'kɔ 'dhiö -kplawo, 'yi dho =bhlöö							
146_1.2	\idi	bɔ̏ yí bhàa	-bɔ 'yi =bhaa							
146_1.2	\ex	wà ɯ̄ bɔ̄ yí bhàa à?	=wa ü bɔ 'yi =bhaa =a?							
146_1.3	\ex	bhʌ̀n kʌ̏ ká ~ bhɛ̄n dhȕn zɯ̏ tó dhɤ́ ē?	=më -kë 'ka bɔ mɛ -nu -zü 'to 'dhö e?							
146_1.5	\ex	yɤ̏ bɔ̏ ɤ̄ bhɛ̏n dhȕn tȁ kɤ̄ wȁan gʌ́n dhūn ȁ bɔ̄ɔ dhʌ̏	-yö -bɔ ö -mɛ -nu -ta kö -waan 'gën nu -a bɔɔ -dhë							
146_3	\ex	bhɤ̏ dīî bɔ̄ yɔ̄ bhʌ̄ ȁ píɤ kɤ̄ kwáä bhɯ̄n	-bhö dii- bɔ yɔ bhë -a 'piö kö 'kwaa- mü							
146_4	\ex	yɤ̏ dhȍ lɯ́ bɔ̄ dhìa	-yö -dho 'lü bɔ =dhia							
146_5	\cbn	dhɛ̏ ~	-dhɛ bɔ							
146_5	\ex	yà ɤ̄ bhȁ dhɛ̏ ~	=ya ö -bha -dhɛ bɔ							
146_5	\idi	dhɛ̏ ~	-dhɛ bɔ							
150_1	\idi	~ zʌ̄	'bɔn zë							
150_1	\ex	bɔ́ŋ zʌ̄	'bɔng zë							
150_1	\idi	~ zʌ̄ bhɛ̏n	'bɔn zë -mɛ							
150_1	\ex	~ zʌ̄ zóo	'bɔn zë 'zoo							
150_1	\idi	yȁ ~ bhȁ	-ya 'bɔn -bha							
150_1	\idi	bɔ́nkán	'bɔn 'kan					devenir stupide		DJ, LJ
150_1	\ex	bhɛ̄n dhɛ̀n ȁ bɔ́n yà kán	mɛ =nɛ -a 'bɔn =ya 'kan							
150_1	\cbn	dȅ ~ kán	-de 'bɔn 'kan							
151_0	\ex	ɯ̄ ~ kʌ̄ dhȁn	ü 'bɔnkanpë kë -na							
158_1.1	\ex	kpȉin tȁ dhɛ̏ yà kʌ̄ ~ ká	-kpiin -ta -dhɛ =ya kë böü- 'ka							
159_1	\ex	ȁ ~ yɤ̏ và	-a 'böü -yö =va							
162_0	\ex	yɤ̀ sʌ̏ kɤ̄ ~ dhɛ̀n yɤ̏ kpɔ́	=yö -së kö böügüdhɛ =nɛ -yö 'kpɔ							
164_0	\ex	dhā yà bān kɤ̄ dhɛ̏ plɛ́ yà kʌ̄ ~	dha =ya ban kö -dhɛ 'plɛ =ya kë böüzë							
166_0	\idi	~ dȁ	bu -da							
166_0	\ex	Gbȁto yà bū dȁ zlòo bhȁ	-Gbato =ya bu -da =zloo -bha							
167_0	\ex	wɯ̄ yà bú sɔ́ gɯ́	wü =ya 'bu 'sɔ 'gü							
